,HRMY
% Below High,0.0562
% Held by Institutions,0.9207
52-Wk Range,['31.54 - 61.55']
Annual Dividend $,
Annual Dividend %,
Ask,58.45
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,57.73
Bid Size,100.0
Closing Price,58.09
Day Change $,0.59
Day Change %,0.0103
Day High,58.87
Day Low,57.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.55
Ex-dividend Date,No dividend
Historical Volatility,0.534
Last (size),12.0
Last (time),1:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",22.75
Prev Close,57.5
Short Interest,0.0999
Today's Open,57.58
Volume,87684.0
Volume 10-day Avg,431092.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.16917293233082709
Growth 2yr High Est,0.11111111111111116
Growth 2yr Consensus Est,-0.029030910609857963
Growth 5yr Low Est,-0.16917293233082709
Growth 5yr High Est,0.11111111111111116
Growth 5yr Consensus Est,-0.029030910609857963
Growth 5yr Actual/Est,1.8147356643806951
Growth 3yr Historic,0.5873015873015873
Price/Earnings (TTM),22.75238
Price/Sales (TTM),8.59806
Price/Book (MRQ),10.01789
Price/Cash Flow (TTM),19.38541
5yr Low,25.09
5yr High,61.55
5yr Avg Return,0.13506666666666667
Short Int Current Month,5670819.0
Short Int Prev Month,5770603.0
Short Int Pct of Float,0.0999216
Days to Cover,7.53006
Float,58.29015
Shares Outstanding,59.31755
Institutions Holding Shares,281.0
FCF Growth 5yr,1.6230689507023113
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",22.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8143000000000001
Operating Profit Margin (TTM),0.2525
Net Profit Margin (TTM),0.3884
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.72
EPS Growth (TTM),12.0123
Revenue Growth (MRQ),0.0951
Revenue Growth (TTM),0.4815
Return On Equity (TTM),0.6278
Return On Assets (TTM),0.3009
Return On Investment (TTM),0.354
Revenue Per Employee (TTM),2226445.0
Total Debt/Total Capital (MRQ),0.358
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003
Quick Ratio (MRQ),3.52
Interest Coverage (MRQ),2.98
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-08-19 00:00:00
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
