,DFH
% Above Low,0.1261
% Held by Institutions,0.5965
52-Wk Range,['8.77 - 23.09']
Annual Dividend $,
Annual Dividend %,
Ask,26.9
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,
Bid,8.5
Bid Size,100.0
Closing Price,9.87
Day Change $,0.21
Day Change %,0.0217
Day High,9.94
Day Low,9.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.06
Ex-dividend Date,No dividend
Historical Volatility,0.545
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,921.6M
"P/E Ratio (TTM, GAAP)",4.8
Prev Close,9.66
Short Interest,0.2238
Today's Open,9.66
Volume,51188.0
Volume 10-day Avg,147182.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,2.026315789473684
Growth 1yr High Est,1.8222222222222224
Growth 1yr Consensus Est,1.9242690058479532
Growth 2yr Low Est,0.6631578947368421
Growth 2yr High Est,0.7989063867016624
Growth 2yr Consensus Est,0.7310321407192522
Growth 5yr Low Est,0.4421052631578947
Growth 5yr High Est,0.5326042578011082
Growth 5yr Consensus Est,0.48735476047950144
Growth 5yr Actual/Est,0.37042775238318487
Growth 3yr Historic,0.20675105485232068
Price/Earnings (TTM),4.79573
Price/Sales (TTM),0.29582
Price/Book (MRQ),1.67365
Price/Cash Flow (TTM),3.59235
5yr Low,8.77
5yr High,36.6
5yr Avg Return,-0.24965
Short Int Current Month,4837439.0
Short Int Prev Month,4900725.0
Short Int Pct of Float,0.22377210000000003
Days to Cover,30.35408
Float,21.618
Shares Outstanding,92.76001
Institutions Holding Shares,129.0
FCF Growth 5yr,-0.6367194102048547
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",4.8
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.19940000000000002
Operating Profit Margin (TTM),0.1003
Net Profit Margin (TTM),0.07940000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1211
EPS Growth (TTM),0.8684999999999999
Revenue Growth (MRQ),-0.0094
Revenue Growth (TTM),1.0190000000000001
Return On Equity (TTM),0.5034000000000001
Return On Assets (TTM),0.1396
Return On Investment (TTM),0.1789
Revenue Per Employee (TTM),2553596.0
Total Debt/Total Capital (MRQ),0.5768
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.78
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-07-19 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2022-07-19 00:00:00
newConstructs since,
marketEdge opinion since,
