,D
% Above Low,0.0618
% Held by Institutions,0.7012999999999999
52-Wk Range,['57.95 - 88.78']
Annual Dividend $,2.67
Annual Dividend %,0.0434
Ask,65.47
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,61.51
Bid Size,100.0
Closing Price,61.53
Day Change $,0.5
Day Change %,0.008199999999999999
Day High,61.97
Day Low,61.25
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",2.11
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.242
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,51.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",29.1
Prev Close,61.03
Short Interest,0.008199999999999999
Today's Open,61.39
Volume,1702092.0
Volume 10-day Avg,5900916.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.06299212598425186
Growth 1yr High Est,0.06683804627249357
Growth 1yr Consensus Est,0.06491508612837271
Growth 2yr Low Est,-0.017886653057256785
Growth 2yr High Est,0.0695636014494998
Growth 2yr Consensus Est,0.025838474196121508
Growth 5yr Low Est,-0.02544781238094032
Growth 5yr High Est,0.01652532361867204
Growth 5yr Consensus Est,-0.004461244381134141
Growth 5yr Actual/Est,0.00969378960277098
Growth 3yr Historic,-0.018674714849163193
Price/Earnings (TTM),29.09564
Price/Sales (TTM),3.17647
Price/Book (MRQ),1.91319
Price/Cash Flow (TTM),10.69046
5yr Low,57.79
5yr High,90.89
5yr Avg Return,-0.04136666666666667
EPS Growth 5yr,-0.0159271
Revenue Growth 5yr,0.035358
Dividend Growth 5yr,-0.0208516
Short Int Current Month,6847830.0
Short Int Prev Month,7967181.0
Short Int Pct of Float,0.0082301
Days to Cover,0.80313
Float,832.1233
Shares Outstanding,833.2752
Institutions Holding Shares,1768.0
FCF Growth 5yr,0.7951569343692123
"Price/Earnings (TTM, GAAP)",29.1
"PEG Ratio (TTM, GAAP)",4.71
Gross Profit Margin (TTM),0.4764
Operating Profit Margin (TTM),0.16519999999999999
Net Profit Margin (TTM),0.1142
Annual Dividend Yield,0.0434
Dividend Change %,-0.2696
"Dividend Growth Rate, 3 Years",-0.08960000000000001
EPS Growth (MRQ),2.5671
EPS Growth (TTM),-0.3343
Revenue Growth (MRQ),0.2197
Revenue Growth (TTM),0.1864
Return On Equity (TTM),0.0681
Return On Assets (TTM),0.0181
Return On Investment (TTM),0.020800000000000003
Revenue Per Employee (TTM),943918.0
Total Debt/Total Capital (MRQ),0.6063000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.57
Interest Coverage (MRQ),2.4
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-10-22 00:00:00
cfra since,2020-07-07 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-07 00:00:00
