,FOXF
% Above Low,0.5344
% Held by Institutions,1.0254
52-Wk Range,['69.28 - 188.48']
Annual Dividend $,
Annual Dividend %,
Ask,166.1
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,43.61
Bid Size,100.0
Closing Price,106.3
Day Change $,0.32
Day Change %,0.003
Day High,106.79
Day Low,105.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.48
Ex-dividend Date,No dividend
Historical Volatility,0.527
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.7
Prev Close,105.98
Short Interest,0.057300000000000004
Today's Open,105.09
Volume,42556.0
Volume 10-day Avg,224585.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.17913832199546476
Growth 1yr High Est,0.17582417582417587
Growth 1yr Consensus Est,0.1774812489098203
Growth 2yr Low Est,0.11553069945927075
Growth 2yr High Est,0.14865975146348986
Growth 2yr Consensus Est,0.1320952254613803
Growth 5yr Low Est,0.21164853329831318
Growth 5yr High Est,0.23385142800073744
Growth 5yr Consensus Est,0.2227499806495253
Growth 5yr Actual/Est,0.21864863514340044
Growth 3yr Historic,0.14977977577169477
Price/Earnings (TTM),23.70207
Price/Sales (TTM),2.92481
Price/Book (MRQ),4.25821
Price/Cash Flow (TTM),18.74784
5yr Low,33.2
5yr High,190.29
5yr Avg Return,0.2433833333333334
EPS Growth 5yr,0.32585630000000004
Revenue Growth 5yr,0.2637132
Dividend Growth 5yr,
Short Int Current Month,2419868.0
Short Int Prev Month,2359353.0
Short Int Pct of Float,0.057333999999999996
Days to Cover,8.36011
Float,42.19936
Shares Outstanding,42.26746
Institutions Holding Shares,373.0
FCF Growth 5yr,-5.665390564361547
"Price/Earnings (TTM, GAAP)",23.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.33049999999999996
Operating Profit Margin (TTM),0.1517
Net Profit Margin (TTM),0.12369999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0518
EPS Growth (TTM),0.2027
Revenue Growth (MRQ),0.0061
Revenue Growth (TTM),0.2601
Return On Equity (TTM),0.1995
Return On Assets (TTM),0.1191
Return On Investment (TTM),0.1431
Revenue Per Employee (TTM),374678.0
Total Debt/Total Capital (MRQ),0.23550000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),1.97
Interest Coverage (MRQ),24.51
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-03-11 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-08-06 00:00:00
cfra since,
marketEdge opinion since,
