,PTVE
% Below High,0.16399999999999998
% Held by Institutions,0.2213
52-Wk Range,['8.31 - 13.87']
Annual Dividend $,0.4
Annual Dividend %,0.034300000000000004
Ask,11.62
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,11.57
Bid Size,300.0
Day Change $,-0.055
Day Change %,-0.004699999999999999
Day High,11.65
Day Low,11.41
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.85
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.425
Last (size),100.0
Last (time),11:51a ET 11/28/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",13.75
Prev Close,11.65
Price,11.6
Short Interest,0.0435
Today's Open,11.51
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6470588235294117
Growth 2yr High Est,-0.30386740331491713
Growth 2yr Consensus Est,-0.4754631134221644
Growth 5yr Low Est,-0.6470588235294117
Growth 5yr High Est,-0.30386740331491713
Growth 5yr Consensus Est,-0.4754631134221644
Growth 5yr Actual/Est,3.438819698819698
Growth 3yr Historic,-0.5740740740740741
Price/Earnings (TTM),13.75427
Price/Sales (TTM),0.34204
Price/Book (MRQ),1.63813
Price/Cash Flow (TTM),4.00659
5yr Low,8.31
5yr High,19.61
5yr Avg Return,0.025466666666666683
EPS Growth 5yr,-0.4033788
Revenue Growth 5yr,-0.1257521
Dividend Growth 5yr,
Short Int Current Month,1688957.0
Short Int Prev Month,1881052.0
Short Int Pct of Float,0.0434816
Days to Cover,7.20954
Float,38.84306
Shares Outstanding,177.8031
Institutions Holding Shares,171.0
FCF Growth 5yr,-1.0857142857142859
"Price/Earnings (TTM, GAAP)",13.75
"PEG Ratio (TTM, GAAP)",0.12
Gross Profit Margin (TTM),0.1413
Operating Profit Margin (TTM),0.0639
Net Profit Margin (TTM),0.0253
Annual Dividend Yield,0.034300000000000004
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6948000000000001
EPS Growth (TTM),1.8858000000000001
Revenue Growth (MRQ),0.09699999999999999
Revenue Growth (TTM),0.2395
Return On Equity (TTM),0.1322
Return On Assets (TTM),0.021800000000000003
Return On Investment (TTM),0.025
Revenue Per Employee (TTM),373827.0
Total Debt/Total Capital (MRQ),0.7695000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.09
Interest Coverage (MRQ),3.27
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-10 00:00:00
theStreet since,2022-11-10 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
