,DIOD
% Below High,0.21309999999999998
% Held by Institutions,0.99
52-Wk Range,['58.52 - 113.39']
Annual Dividend $,
Annual Dividend %,
Ask,89.74
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,88.7
Bid Size,100.0
Closing Price,89.22
Day Change $,-1.0
Day Change %,-0.0111
Day High,90.33
Day Low,89.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.62
Ex-dividend Date,No dividend
Historical Volatility,0.49
Last (size),26.0
Last (time),1:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.48
Prev Close,90.22
Short Interest,0.029500000000000002
Today's Open,89.7
Volume,103141.0
Volume 10-day Avg,243188.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.44153225806451624
Growth 1yr High Est,0.44597249508840875
Growth 1yr Consensus Est,0.4437523765764625
Growth 2yr Low Est,0.1284584367245658
Growth 2yr High Est,0.2426873345007261
Growth 2yr Consensus Est,0.18557288561264595
Growth 5yr Low Est,0.3051912864358645
Growth 5yr High Est,0.3625933770251484
Growth 5yr Consensus Est,0.3338923317305065
Growth 5yr Actual/Est,0.3292365341841652
Growth 3yr Historic,0.2529538641514952
Price/Earnings (TTM),13.4828
Price/Sales (TTM),2.04421
Price/Book (MRQ),2.31285
Price/Cash Flow (TTM),9.30091
5yr Low,26.09
5yr High,113.98
5yr Avg Return,0.23553333333333326
EPS Growth 5yr,0.7325929999999999
Revenue Growth 5yr,0.13888040000000001
Dividend Growth 5yr,
Short Int Current Month,1311875.0
Short Int Prev Month,1587843.0
Short Int Pct of Float,0.0294739
Days to Cover,5.21685
Float,44.59664
Shares Outstanding,45.46971
Institutions Holding Shares,392.0
FCF Growth 5yr,0.4348948414335432
"Price/Earnings (TTM, GAAP)",13.48
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.409
Operating Profit Margin (TTM),0.2004
Net Profit Margin (TTM),0.1573
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0737
EPS Growth (TTM),0.5839
Revenue Growth (MRQ),0.0405
Revenue Growth (TTM),0.1845
Return On Equity (TTM),0.23879999999999998
Return On Assets (TTM),0.1418
Return On Investment (TTM),0.188
Revenue Per Employee (TTM),222457.0
Total Debt/Total Capital (MRQ),0.16820000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.76
Interest Coverage (MRQ),20.38
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-18 00:00:00
cfra since,2019-02-07 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2018-05-10 00:00:00
