,DIOD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.48,20.56,Valuation,0.6556420233463036
Price/Sales (TTM),2.04,7.41,Valuation,0.27530364372469635
Price/Book (MRQ),2.31,13.13,Valuation,0.17593297791317591
"PEG Ratio (TTM, GAAP)",,0.9,Valuation,
Gross Profit Margin (TTM),0.409,0.5489,Profitability,0.7451266168701037
Operating Profit Margin (TTM),0.2004,0.25739999999999996,Profitability,0.7785547785547786
Net Profit Margin (TTM),0.1573,0.2224,Profitability,0.7072841726618705
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),0.0737,1.5356,Gowth rates,0.04799426934097421
EPS Growth (TTM),0.5839,0.2274,Gowth rates,2.567722075637643
Revenue Growth (MRQ),0.0405,0.1335,Gowth rates,0.30337078651685395
Revenue Growth (TTM),0.1845,0.24170000000000003,Gowth rates,0.7633429871741828
Return On Equity (TTM),0.23879999999999998,0.36920000000000003,Effectiveness,0.646803900325027
Return On Assets (TTM),0.1418,0.16010000000000002,Effectiveness,0.8856964397251718
Return On Investment (TTM),0.188,0.1925,Effectiveness,0.9766233766233766
Revenue Per Employee (TTM),222457.0,898550.0,Effectiveness,0.24757331255912304
Total Debt/Total Capital (MRQ),0.16820000000000002,0.3576,Financial strength,0.470357941834452
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0,Financial strength,inf
Quick Ratio (MRQ),1.76,2.24,Financial strength,0.7857142857142857
Interest Coverage (MRQ),20.38,15.8,Financial strength,1.2898734177215188
