,AZEK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.42,13.91,Valuation,1.755571531272466
Price/Sales (TTM),2.02,1.88,Valuation,1.074468085106383
Price/Book (MRQ),1.92,3.87,Valuation,0.49612403100775193
"PEG Ratio (TTM, GAAP)",4.79,0.02,Valuation,239.5
Gross Profit Margin (TTM),0.32189999999999996,0.31260000000000004,Profitability,1.029750479846449
Operating Profit Margin (TTM),0.1257,0.1429,Profitability,0.8796361091672499
Net Profit Margin (TTM),0.0849,0.1072,Profitability,0.7919776119402985
Annual Dividend Yield,,0.0134,Dividend,
Dividend Change %,,0.2683,Dividend,
"Dividend Growth Rate, 3 Years",,0.0895,Dividend,
EPS Growth (MRQ),-0.2218,0.5653,Gowth rates,-0.39235803997877233
EPS Growth (TTM),13.0494,7.5147,Gowth rates,1.736516427801509
Revenue Growth (MRQ),-0.0032,0.1259,Gowth rates,-0.025416997617156472
Revenue Growth (TTM),0.2738,0.20510000000000003,Gowth rates,1.3349585568015598
Return On Equity (TTM),0.08320000000000001,0.254,Effectiveness,0.3275590551181103
Return On Assets (TTM),0.053099999999999994,0.0326,Effectiveness,1.6288343558282208
Return On Investment (TTM),0.0575,0.1543,Effectiveness,0.372650680492547
Revenue Per Employee (TTM),674264.0,403228.0,Effectiveness,1.6721656234190085
Total Debt/Total Capital (MRQ),0.3085,0.4794,Financial strength,0.6435127242386316
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.0029,Financial strength,0.5517241379310346
Quick Ratio (MRQ),1.39,1.11,Financial strength,1.2522522522522521
Interest Coverage (MRQ),4.9,10.87,Financial strength,0.4507819687212512
