,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,23.42,20.27,17.25,19.17,15.33,,,,,
low,9.05,10.02,6.85,12.47,6.91,,,,,
change,-0.5195000000000001,0.672,-0.109,-0.0761,-0.4764,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,133.0,46.0,26.0,20.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,431.0,460.0,475.0,450.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-49.0,-49.0,-53.0,-53.0,Balance Sheet
"Total Receivables, Net",,,,,,467.0,509.0,544.0,528.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,112.0,110.0,114.0,129.0,Balance Sheet
Total Current Assets,,,,,,712.0,664.0,684.0,677.0,Balance Sheet
Buildings,,,,,,44.0,44.0,46.0,46.0,Balance Sheet
Land/Improvements,,,,,,42.0,43.0,43.0,43.0,Balance Sheet
Machinery/Equipment,,,,,,625.0,665.0,699.0,717.0,Balance Sheet
Construction in Progress,,,,,,3.0,4.0,5.0,6.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,72.0,80.0,78.0,82.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,786.0,836.0,871.0,894.0,Balance Sheet
Accumulated Depreciation,,,,,,-441.0,-455.0,-469.0,-484.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,345.0,381.0,401.0,410.0,Balance Sheet
"Goodwill, Net",,,,,,1951.0,2018.0,2005.0,2009.0,Balance Sheet
Intangibles - Gross,,,,,,706.0,718.0,729.0,730.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-517.0,-529.0,-542.0,-555.0,Balance Sheet
Intangibles - Net,,,,,,189.0,189.0,186.0,174.0,Balance Sheet
Other Long Term Assets,,,,,,49.0,43.0,40.0,35.0,Balance Sheet
Total Assets,,,,,,3245.0,3295.0,3317.0,3306.0,Balance Sheet
Accounts Payable,,,,,,144.0,158.0,159.0,151.0,Balance Sheet
Accrued Expenses,,,,,,189.0,228.0,236.0,220.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,10.0,10.0,12.0,12.0,Balance Sheet
Customer Advances,,,,,,64.0,82.0,73.0,59.0,Balance Sheet
Other Current Liabilities,,,,,,49.0,48.0,50.0,46.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,113.0,129.0,123.0,105.0,Balance Sheet
Total Current Liabilities,,,,,,456.0,526.0,530.0,488.0,Balance Sheet
Total Long Term Debt,,,,,,1204.0,1259.0,1336.0,1331.0,Balance Sheet
Total Debt,,,,,,1214.0,1270.0,1348.0,1343.0,Balance Sheet
Deferred Income Tax,,,,,,61.0,58.0,56.0,69.0,Balance Sheet
Reserves,,,,,,105.0,105.0,102.0,101.0,Balance Sheet
Other LT Liabilities,,,,,,85.0,94.0,96.0,100.0,Balance Sheet
"Other Liabilities, Total",,,,,,190.0,198.0,197.0,201.0,Balance Sheet
Total Liabilities,,,,,,1911.0,2041.0,2120.0,2089.0,Balance Sheet
Common Stock,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,,1495.0,1500.0,1505.0,1510.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-154.0,-154.0,-143.0,-128.0,Balance Sheet
Treasury Stock - Common,,,,,,-7.0,-95.0,-168.0,-168.0,Balance Sheet
"Other Equity, Total",,,,,,-1.0,1.0,3.0,2.0,Balance Sheet
Total Equity,,,,,,1335.0,1254.0,1197.0,1217.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,3245.0,3295.0,3317.0,3306.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,105.0,99.0,93.0,93.0,Balance Sheet
