,HAE
% Below High,0.0338
% Held by Institutions,1.0247
52-Wk Range,['43.50 - 86.48']
Annual Dividend $,
Annual Dividend %,
Ask,100.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,72.0
Bid Size,100.0
Closing Price,83.56
Day Change $,-0.57
Day Change %,-0.0068000000000000005
Day High,84.71
Day Low,83.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.67
Ex-dividend Date,No dividend
Historical Volatility,0.414
Last (size),24.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",50.02
Prev Close,84.13
Short Interest,0.0245
Today's Open,84.22
Volume,106892.0
Volume 10-day Avg,515209.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.1279999999999999
Growth 1yr High Est,0.16862745098039222
Growth 1yr Consensus Est,0.14831372549019606
Growth 2yr Low Est,0.07109219858156024
Growth 2yr High Est,0.13464929595999475
Growth 2yr Consensus Est,0.1028707472707775
Growth 5yr Low Est,-0.02448429584599801
Growth 5yr High Est,0.00593411543561867
Growth 5yr Consensus Est,-0.00927509020518967
Growth 5yr Actual/Est,0.00283762006495053
Growth 3yr Historic,-0.048039467763707655
Price/Earnings (TTM),50.01586
Price/Sales (TTM),3.90217
Price/Book (MRQ),5.80047
Price/Cash Flow (TTM),23.34954
5yr Low,43.5
5yr High,142.11
5yr Avg Return,0.13373333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0230783
Dividend Growth 5yr,
Short Int Current Month,1233349.0
Short Int Prev Month,1672966.0
Short Int Pct of Float,0.024539
Days to Cover,2.01253
Float,50.26996
Shares Outstanding,50.60836
Institutions Holding Shares,353.0
FCF Growth 5yr,-4.9935928596605175
"Price/Earnings (TTM, GAAP)",50.02
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5302
Operating Profit Margin (TTM),0.12210000000000001
Net Profit Margin (TTM),0.07940000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6742
EPS Growth (TTM),1.7621000000000002
Revenue Growth (MRQ),0.1378
Revenue Growth (TTM),0.1605
Return On Equity (TTM),0.12060000000000001
Return On Assets (TTM),0.046900000000000004
Return On Investment (TTM),0.0552
Revenue Per Employee (TTM),384160.0
Total Debt/Total Capital (MRQ),0.5287
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.76
Interest Coverage (MRQ),8.1
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-08 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
