,AXP
% Above Low,0.17989999999999998
% Held by Institutions,0.846
52-Wk Range,['130.65 - 199.55']
Annual Dividend $,2.08
Annual Dividend %,0.013500000000000002
Ask,154.5
Ask Size,1000.0
B/A Ratio,0.5
B/A Size,500x1000
Beta,1.1
Bid,153.81
Bid Size,500.0
Closing Price,154.15
Day Change $,0.22
Day Change %,0.0014000000000000002
Day High,154.47
Day Low,153.17
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",9.95
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.37200000000000005
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,115.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.49
Prev Close,153.93
Short Interest,0.009300000000000001
Today's Open,153.52
Volume,665794.0
Volume 10-day Avg,2657729.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,0.023605150214592197
Growth 1yr High Est,0.03438113948919441
Growth 1yr Consensus Est,0.028993144851893304
Growth 2yr Low Est,-0.12446576870821746
Growth 2yr High Est,0.07037195625931714
Growth 2yr Consensus Est,-0.027046906224450162
Growth 5yr Low Est,-0.019886585734284368
Growth 5yr High Est,0.09329735827493701
Growth 5yr Consensus Est,0.03670538627032632
Growth 5yr Actual/Est,0.29295849278782604
Growth 3yr Historic,0.27939525781199454
Price/Earnings (TTM),15.48842
Price/Sales (TTM),2.22874
Price/Book (MRQ),4.80994
Price/Cash Flow (TTM),12.49847
5yr Low,67.0
5yr High,199.55
5yr Avg Return,0.09936666666666667
EPS Growth 5yr,0.12275280000000001
Revenue Growth 5yr,0.0351863
Dividend Growth 5yr,0.076456
Short Int Current Month,6914187.0
Short Int Prev Month,7431771.0
Short Int Pct of Float,0.0092684
Days to Cover,2.05557
Float,743.6664
Shares Outstanding,747.2327
Institutions Holding Shares,2465.0
FCF Growth 5yr,0.3108559447960327
"Price/Earnings (TTM, GAAP)",15.49
"PEG Ratio (TTM, GAAP)",2.07
Gross Profit Margin (TTM),0.6729999999999999
Operating Profit Margin (TTM),0.19390000000000002
Net Profit Margin (TTM),0.1482
Annual Dividend Yield,0.013500000000000002
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.061
EPS Growth (MRQ),-0.0378
EPS Growth (TTM),0.0406
Revenue Growth (MRQ),0.0305
Revenue Growth (TTM),0.2889
Return On Equity (TTM),0.3115
Return On Assets (TTM),0.0384
Return On Investment (TTM),0.08199999999999999
Revenue Per Employee (TTM),807531.0
Total Debt/Total Capital (MRQ),0.8603000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),36.13
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2021-07-23 00:00:00
ford since,2022-07-01 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-10-26 00:00:00
