,INDB
% Below High,0.0060999999999999995
% Held by Institutions,0.8331999999999999
52-Wk Range,['74.28 - 89.46']
Annual Dividend $,2.04
Annual Dividend %,0.0229
Ask,142.32
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,35.58
Bid Size,200.0
Closing Price,88.91
Day Change $,0.97
Day Change %,0.011000000000000001
Day High,89.13
Day Low,87.57
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",4.05
Ex-dividend,2022-09-23 00:00:00
Ex-dividend Date,09/23/22
Historical Volatility,0.254
Last (size),22.0
Last (time),1:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.93
Prev Close,87.94
Short Interest,0.0217
Today's Open,88.37
Volume,62751.0
Volume 10-day Avg,143076.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.6324786324786327
Growth 1yr High Est,0.5481283422459893
Growth 1yr Consensus Est,0.590303487362311
Growth 2yr Low Est,0.3973911487000493
Growth 2yr High Est,0.35782928338551623
Growth 2yr Consensus Est,0.3776102160427828
Growth 5yr Low Est,0.12349637116277368
Growth 5yr High Est,0.09587892740704385
Growth 5yr Consensus Est,0.10968764928490876
Growth 5yr Actual/Est,0.10304809726780848
Growth 3yr Historic,0.044591493591641634
Price/Earnings (TTM),21.93207
Price/Sales (TTM),5.97679
Price/Book (MRQ),1.44021
Price/Cash Flow (TTM),17.93709
5yr Low,49.25
5yr High,99.85
5yr Avg Return,0.03916666666666666
EPS Growth 5yr,0.0366189
Revenue Growth 5yr,0.10982810000000001
Dividend Growth 5yr,0.1095197
Short Int Current Month,979401.0
Short Int Prev Month,1019216.0
Short Int Pct of Float,0.021691
Days to Cover,6.25464
Float,45.17735
Shares Outstanding,45.64225
Institutions Holding Shares,322.0
FCF Growth 5yr,0.5174642351112939
"Price/Earnings (TTM, GAAP)",21.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3628
Net Profit Margin (TTM),0.2776
Annual Dividend Yield,0.0229
Dividend Change %,0.044000000000000004
"Dividend Growth Rate, 3 Years",0.09179999999999999
EPS Growth (MRQ),0.1847
EPS Growth (TTM),-0.102
Revenue Growth (MRQ),0.1475
Revenue Growth (TTM),0.514
Return On Equity (TTM),0.0824
Return On Assets (TTM),0.011000000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0037
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-11-30 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
