,OMC
% Below High,0.136
% Held by Institutions,0.9301999999999999
52-Wk Range,['61.31 - 91.61']
Annual Dividend $,2.8
Annual Dividend %,0.0354
Ask,79.06
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,70.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,79.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-12 00:00:00
"EPS (TTM, GAAP)",6.13
Ex-dividend,2022-09-20 00:00:00
Ex-dividend Date,09/20/22
Historical Volatility,0.326
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,79.15
Market Cap,16.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.91
Prev Close,79.15
Short Interest,0.0453
Today's Open,
Volume,1.0
Volume 10-day Avg,1096085.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.0016366612111291534
Growth 1yr High Est,0.07109737248840808
Growth 1yr Consensus Est,0.03636701684976862
Growth 2yr Low Est,-0.029410427564370067
Growth 2yr High Est,0.055029205724723584
Growth 2yr Consensus Est,0.012809389080176758
Growth 5yr Low Est,0.027861712861997096
Growth 5yr High Est,0.052903727903842124
Growth 5yr Consensus Est,0.04038272038291961
Growth 5yr Actual/Est,0.02942816784451399
Growth 3yr Historic,0.024669966996699683
Price/Earnings (TTM),12.90696
Price/Sales (TTM),1.13051
Price/Book (MRQ),5.87613
Price/Cash Flow (TTM),10.16562
5yr Low,44.5
5yr High,91.61
5yr Avg Return,0.029299999999999996
EPS Growth 5yr,0.059600400000000005
Revenue Growth 5yr,-0.0150745
Dividend Growth 5yr,0.0554136
Short Int Current Month,9103537.0
Short Int Prev Month,9429917.0
Short Int Pct of Float,0.0452652
Days to Cover,7.22216
Float,201.1498
Shares Outstanding,203.9161
Institutions Holding Shares,1072.0
FCF Growth 5yr,-0.5535742316637148
"Price/Earnings (TTM, GAAP)",12.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2767
Operating Profit Margin (TTM),0.1445
Net Profit Margin (TTM),0.0959
Annual Dividend Yield,0.0354
Dividend Change %,0.057699999999999994
"Dividend Growth Rate, 3 Years",0.0464
EPS Growth (MRQ),0.0492
EPS Growth (TTM),-0.037200000000000004
Revenue Growth (MRQ),-0.0347
Revenue Growth (TTM),0.0061
Return On Equity (TTM),0.4254
Return On Assets (TTM),0.055099999999999996
Return On Investment (TTM),0.12710000000000002
Revenue Per Employee (TTM),199117.0
Total Debt/Total Capital (MRQ),0.5998
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),18.76
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-14 00:00:00
theStreet since,2020-11-18 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-19 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
