,TROX
Price/Earnings (TTM),3.78368
Price/Sales (TTM),0.595
Price/Book (MRQ),0.96648
Price/Cash Flow (TTM),2.51714
5yr Low,3.97
5yr High,27.09
5yr Avg Return,0.021666666666666678
EPS Growth 5yr,
Revenue Growth 5yr,0.2223466
Dividend Growth 5yr,-0.013338099999999999
Short Int Current Month,3101532.0
Short Int Prev Month,3056646.0
Short Int Pct of Float,0.027077499999999997
Days to Cover,2.00118
Float,114.5427
Shares Outstanding,154.4651
Institutions Holding Shares,305.0
% Held by Institutions,0.6761969999999999
FCF Growth 5yr,-0.09317320333232204
