,TROX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.78,20.13,Valuation,0.18777943368107303
Price/Sales (TTM),0.6,3.27,Valuation,0.18348623853211007
Price/Book (MRQ),0.97,5.58,Valuation,0.17383512544802868
"PEG Ratio (TTM, GAAP)",0.59,0.12,Valuation,4.916666666666667
Gross Profit Margin (TTM),0.25620000000000004,0.3453,Profitability,0.741963509991312
Operating Profit Margin (TTM),0.1437,0.0535,Profitability,2.6859813084112147
Net Profit Margin (TTM),0.1629,0.0204,Profitability,7.985294117647058
Annual Dividend Yield,0.0352,0.0188,Dividend,1.872340425531915
Dividend Change %,0.2857,0.102,Dividend,2.800980392156863
"Dividend Growth Rate, 3 Years",0.25989999999999996,0.06910000000000001,Dividend,3.76121562952243
EPS Growth (MRQ),-0.6742,-0.6111,Gowth rates,1.1032564228440518
EPS Growth (TTM),1.369,1.725,Gowth rates,0.793623188405797
Revenue Growth (MRQ),-0.0529,0.212,Gowth rates,-0.24952830188679248
Revenue Growth (TTM),0.06280000000000001,0.23420000000000002,Gowth rates,0.26814688300597783
Return On Equity (TTM),0.28190000000000004,0.2206,Effectiveness,1.2778785131459658
Return On Assets (TTM),0.0985,0.06420000000000001,Effectiveness,1.5342679127725856
Return On Investment (TTM),0.11460000000000001,0.08410000000000001,Effectiveness,1.3626634958382877
Revenue Per Employee (TTM),567538.0,817013.0,Effectiveness,0.6946499015315546
Total Debt/Total Capital (MRQ),0.5253,0.4105,Financial strength,1.279658952496955
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.001,Financial strength,-0.6
Quick Ratio (MRQ),1.0,1.18,Financial strength,0.8474576271186441
Interest Coverage (MRQ),4.89,26.2,Financial strength,0.1866412213740458
