,TROX
% Above Low,0.2408
% Held by Institutions,0.6762
52-Wk Range,['11.09 - 25.95']
Annual Dividend $,0.5
Annual Dividend %,0.0352
Ask,15.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.8
Bid,11.5
Bid Size,500.0
Change Since Close,0.30| |(2.18%)
Closing Price,13.76
Day Change $,-0.45
Day Change %,-0.0317
Day High,14.07
Day Low,13.65
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",3.76
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.521
Last (size),3.0
Last (time),7:00p ET 11/28/22
Last Trade,14.06
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.78
Prev Close,14.21
Short Interest,0.0271
Today's Open,13.91
Volume,896134.0
Volume 10-day Avg,1126218.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.05853658536585371
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,0.029268292682926855
Growth 2yr Low Est,-0.09745981791615144
Growth 2yr High Est,-0.01224489795918371
Growth 2yr Consensus Est,-0.05485235793766757
Growth 5yr Low Est,1.1202119732410842
Growth 5yr High Est,0.825170068027211
Growth 5yr Consensus Est,0.9726910206341475
Growth 5yr Actual/Est,0.7907594192078995
Growth 3yr Historic,0.8201937689969603
Price/Earnings (TTM),3.78368
Price/Sales (TTM),0.595
Price/Book (MRQ),0.96648
Price/Cash Flow (TTM),2.51714
5yr Low,3.97
5yr High,27.09
5yr Avg Return,0.021666666666666678
EPS Growth 5yr,
Revenue Growth 5yr,0.2223466
Dividend Growth 5yr,-0.013338099999999999
Short Int Current Month,3101532.0
Short Int Prev Month,3056646.0
Short Int Pct of Float,0.027077499999999997
Days to Cover,2.00118
Float,114.5427
Shares Outstanding,154.4651
Institutions Holding Shares,305.0
FCF Growth 5yr,-0.09317320333232204
"Price/Earnings (TTM, GAAP)",3.78
"PEG Ratio (TTM, GAAP)",0.59
Gross Profit Margin (TTM),0.25620000000000004
Operating Profit Margin (TTM),0.1437
Net Profit Margin (TTM),0.1629
Annual Dividend Yield,0.0352
Dividend Change %,0.2857
"Dividend Growth Rate, 3 Years",0.25989999999999996
EPS Growth (MRQ),-0.6742
EPS Growth (TTM),1.369
Revenue Growth (MRQ),-0.0529
Revenue Growth (TTM),0.06280000000000001
Return On Equity (TTM),0.28190000000000004
Return On Assets (TTM),0.0985
Return On Investment (TTM),0.11460000000000001
Revenue Per Employee (TTM),567538.0
Total Debt/Total Capital (MRQ),0.5253
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),4.89
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2020-10-30 00:00:00
theStreet since,2020-10-30 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
