,CMBM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",49.27,26.06,Valuation,1.8906369915579435
Price/Sales (TTM),1.89,5.09,Valuation,0.3713163064833006
Price/Book (MRQ),4.16,4.51,Valuation,0.9223946784922396
"PEG Ratio (TTM, GAAP)",3.1,2.07,Valuation,1.4975845410628021
Gross Profit Margin (TTM),0.47500000000000003,0.5751,Profitability,0.8259433142062251
Operating Profit Margin (TTM),0.0458,0.2231,Profitability,0.20528910802330794
Net Profit Margin (TTM),0.039900000000000005,0.1819,Profitability,0.21935129191863664
Annual Dividend Yield,,0.0201,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0484,Dividend,
EPS Growth (MRQ),3.0068,-0.16579999999999998,Gowth rates,-18.1351025331725
EPS Growth (TTM),-0.7415999999999999,0.1262,Gowth rates,-5.8763866877971465
Revenue Growth (MRQ),0.1718,0.1365,Gowth rates,1.2586080586080586
Revenue Growth (TTM),-0.1437,0.0862,Gowth rates,-1.6670533642691414
Return On Equity (TTM),0.09789999999999999,0.195,Effectiveness,0.502051282051282
Return On Assets (TTM),0.049800000000000004,0.1241,Effectiveness,0.4012892828364223
Return On Investment (TTM),0.0735,0.1684,Effectiveness,0.43646080760095013
Revenue Per Employee (TTM),508031.0,688581.0,Effectiveness,0.7377941012023277
Total Debt/Total Capital (MRQ),0.17870000000000003,0.36450000000000005,Financial strength,0.49026063100137174
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001,0.0002,Financial strength,-8.5
Quick Ratio (MRQ),1.79,1.51,Financial strength,1.185430463576159
Interest Coverage (MRQ),14.67,1.83,Financial strength,8.01639344262295
