,CMBM
% Above Low,0.6411
% Held by Institutions,0.8981
52-Wk Range,['12.40 - 29.38']
Annual Dividend $,
Annual Dividend %,
Ask,20.45
Ask Size,10500.0
B/A Ratio,0.01904761904761905
B/A Size,200x10500
Beta,0.9
Bid,18.01
Bid Size,200.0
Closing Price,20.35
Day Change $,-0.02
Day Change %,-0.001
Day High,20.82
Day Low,19.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.41
Ex-dividend Date,No dividend
Historical Volatility,0.6940000000000001
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,550.2M
"P/E Ratio (TTM, GAAP)",49.27
Prev Close,20.37
Short Interest,0.0305
Today's Open,20.38
Volume,24813.0
Volume 10-day Avg,130519.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.319672131147541
Growth 1yr High Est,-0.31746031746031744
Growth 1yr Consensus Est,-0.3185662243039292
Growth 2yr Low Est,0.0028145368358681866
Growth 2yr High Est,0.09708379475821338
Growth 2yr Consensus Est,0.049949165797040784
Growth 5yr Low Est,0.47759774460841026
Growth 5yr High Est,0.35117347632647516
Growth 5yr Consensus Est,0.4143856104674427
Growth 5yr Actual/Est,0.35120020134063845
Growth 3yr Historic,0.32372587827808014
Price/Earnings (TTM),49.27361
Price/Sales (TTM),1.88996
Price/Book (MRQ),4.1595
Price/Cash Flow (TTM),28.76855
5yr Low,3.57
5yr High,66.4
5yr Avg Return,0.37507500000000005
EPS Growth 5yr,0.7121536
Revenue Growth 5yr,0.13104939999999998
Dividend Growth 5yr,
Short Int Current Month,353085.0
Short Int Prev Month,452655.0
Short Int Pct of Float,0.030501900000000002
Days to Cover,1.66642
Float,11.66076
Shares Outstanding,27.03537
Institutions Holding Shares,160.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",49.27
"PEG Ratio (TTM, GAAP)",3.1
Gross Profit Margin (TTM),0.47500000000000003
Operating Profit Margin (TTM),0.0458
Net Profit Margin (TTM),0.039900000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.0068
EPS Growth (TTM),-0.7415999999999999
Revenue Growth (MRQ),0.1718
Revenue Growth (TTM),-0.1437
Return On Equity (TTM),0.09789999999999999
Return On Assets (TTM),0.049800000000000004
Return On Investment (TTM),0.0735
Revenue Per Employee (TTM),508031.0
Total Debt/Total Capital (MRQ),0.17870000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),1.79
Interest Coverage (MRQ),14.67
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-06-28 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-06-28 00:00:00
newConstructs since,
marketEdge opinion since,
