,NYCB
% Above Low,0.15789999999999998
% Held by Institutions,0.6143
52-Wk Range,['8.17 - 13.57']
Annual Dividend $,0.68
Annual Dividend %,0.0719
Ask,9.43
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.0
Bid,9.36
Bid Size,500.0
Change Since Close,-0.03| |(-0.32%)
Closing Price,9.46
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",1.26
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.322
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,9.43
Market Cap,4.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.49
Prev Close,9.46
Short Interest,0.11689999999999999
Today's Open,
Volume,1430.0
Volume 10-day Avg,8852082.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.01680672268907568
Growth 1yr High Est,0.04800000000000004
Growth 1yr Consensus Est,0.01559663865546218
Growth 2yr Low Est,-0.0981469510881276
Growth 2yr High Est,0.03926717557251913
Growth 2yr Consensus Est,-0.029439887757804234
Growth 5yr Low Est,0.0923738928769888
Growth 5yr High Est,0.17027461342728517
Growth 5yr Consensus Est,0.131324253152137
Growth 5yr Actual/Est,0.11910652882854017
Growth 3yr Historic,0.13509039979628212
Price/Earnings (TTM),7.49331
Price/Sales (TTM),3.14077
Price/Book (MRQ),0.70633
Price/Cash Flow (TTM),7.18183
5yr Low,7.72
5yr High,14.53
5yr Avg Return,-0.032049999999999995
EPS Growth 5yr,0.0341602
Revenue Growth 5yr,0.0016817
Dividend Growth 5yr,0.0
Short Int Current Month,53576414.0
Short Int Prev Month,49040039.0
Short Int Pct of Float,0.1168756
Days to Cover,3.19861
Float,458.4053
Shares Outstanding,466.1358
Institutions Holding Shares,539.0
FCF Growth 5yr,-0.1188811188811189
"Price/Earnings (TTM, GAAP)",7.49
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.599
Net Profit Margin (TTM),0.4473
Annual Dividend Yield,0.0719
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.1167
EPS Growth (TTM),0.11449999999999999
Revenue Growth (MRQ),0.0761
Revenue Growth (TTM),0.0803
Return On Equity (TTM),0.0925
Return On Assets (TTM),0.010400000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-03-18 00:00:00
theStreet since,2022-05-06 00:00:00
cfra since,2022-09-06 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
