,QCOM
% Above Low,0.1917
% Held by Institutions,0.7131000000000001
52-Wk Range,['101.93 - 193.58']
Annual Dividend $,3.0
Annual Dividend %,0.024300000000000002
Ask,121.47
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,121.46
Bid Size,100.0
Day Change $,-1.98
Day Change %,-0.016
Day High,123.45
Day Low,121.05
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",11.42
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.465
Last (size),100.0
Last (time),12:02p ET 11/28/22
Market Cap,136.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.81
Prev Close,123.45
Price,121.47
Short Interest,0.013500000000000002
Today's Open,122.16
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.30270713699753893
Growth 1yr High Est,-0.053291536050156685
Growth 1yr Consensus Est,-0.1779993365238478
Growth 2yr Low Est,-0.12429474496935766
Growth 2yr High Est,0.0784866823060475
Growth 2yr Consensus Est,-0.022904031331655084
Growth 5yr Low Est,0.08793915265070111
Growth 5yr High Est,0.22353837341557772
Growth 5yr Consensus Est,0.1557387630331394
Growth 5yr Actual/Est,0.37884705051657447
Growth 3yr Historic,0.3763498180679994
Price/Earnings (TTM),10.80646
Price/Sales (TTM),3.13094
Price/Book (MRQ),7.68264
Price/Cash Flow (TTM),9.37076
5yr Low,48.56
5yr High,193.58
5yr Avg Return,0.16073333333333334
EPS Growth 5yr,0.4740914
Revenue Growth 5yr,0.1470629
Dividend Growth 5yr,0.053874000000000005
Short Int Current Month,15084687.0
Short Int Prev Month,13182981.0
Short Int Pct of Float,0.0134756
Days to Cover,1.34712
Float,1119.458
Shares Outstanding,1121.0
Institutions Holding Shares,2974.0
FCF Growth 5yr,0.7560312355211746
"Price/Earnings (TTM, GAAP)",10.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5784
Operating Profit Margin (TTM),0.3578
Net Profit Margin (TTM),0.2938
Annual Dividend Yield,0.024300000000000002
Dividend Change %,0.0752
"Dividend Growth Rate, 3 Years",0.0487
EPS Growth (MRQ),-0.2143
EPS Growth (TTM),0.451
Revenue Growth (MRQ),0.042
Revenue Growth (TTM),0.3168
Return On Equity (TTM),0.9288
Return On Assets (TTM),0.2878
Return On Investment (TTM),0.3909
Revenue Per Employee (TTM),866667.0
Total Debt/Total Capital (MRQ),0.4622
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),1.21
Interest Coverage (MRQ),19.29
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-07-05 00:00:00
theStreet since,2019-08-02 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-02-04 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
