,CMRX
Price/Earnings (TTM),1.26351
Price/Sales (TTM),5.85973
Price/Book (MRQ),0.70706
Price/Cash Flow (TTM),1.26003
5yr Low,1.19
5yr High,11.57
5yr Avg Return,0.07039999999999999
EPS Growth 5yr,
Revenue Growth 5yr,-0.1907481
Dividend Growth 5yr,
Short Int Current Month,3172344.0
Short Int Prev Month,3475836.0
Short Int Pct of Float,0.040110799999999995
Days to Cover,2.30174
Float,79.25647
Shares Outstanding,88.04513
Institutions Holding Shares,157.0
% Held by Institutions,0.6082540000000001
FCF Growth 5yr,-0.17432001044438325
