,CMRX
% Above Low,0.7323000000000001
% Held by Institutions,0.6083
52-Wk Range,['1.27 - 7.42']
Annual Dividend $,
Annual Dividend %,
Ask,2.23
Ask Size,24800.0
B/A Ratio,0.004032258064516129
B/A Size,100x24800
Beta,1.1
Bid,2.16
Bid Size,100.0
Closing Price,2.2
Day Change $,-0.04
Day Change %,-0.0179
Day High,2.28
Day Low,2.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.74
Ex-dividend Date,No dividend
Historical Volatility,1.288
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,193.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",1.26
Prev Close,2.24
Short Interest,0.0401
Today's Open,2.25
Volume,358912.0
Volume 10-day Avg,1184612.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-3.7083333333333335
Growth 1yr High Est,-3.857142857142857
Growth 1yr Consensus Est,-3.7827380952380953
Growth 2yr Low Est,-2.623397435897436
Growth 2yr High Est,-2.6110714285714285
Growth 2yr Consensus Est,-2.617234432234432
Growth 5yr Low Est,-1.7489316239316242
Growth 5yr High Est,-1.7407142857142857
Growth 5yr Consensus Est,-1.7448229548229548
Growth 5yr Actual/Est,-0.547201619138816
Growth 3yr Historic,0.3147783251231528
Price/Earnings (TTM),1.26351
Price/Sales (TTM),5.85973
Price/Book (MRQ),0.70706
Price/Cash Flow (TTM),1.26003
5yr Low,1.19
5yr High,11.57
5yr Avg Return,0.07039999999999999
EPS Growth 5yr,
Revenue Growth 5yr,-0.1907481
Dividend Growth 5yr,
Short Int Current Month,3172344.0
Short Int Prev Month,3475836.0
Short Int Pct of Float,0.040110799999999995
Days to Cover,2.30174
Float,79.25647
Shares Outstanding,88.04513
Institutions Holding Shares,157.0
FCF Growth 5yr,-0.17432001044438325
"Price/Earnings (TTM, GAAP)",1.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9851000000000001
Operating Profit Margin (TTM),-2.3023
Net Profit Margin (TTM),4.6475
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),11.240499999999999
EPS Growth (TTM),1.9558000000000002
Revenue Growth (MRQ),72.9886
Revenue Growth (TTM),9.8274
Return On Equity (TTM),0.8117000000000001
Return On Assets (TTM),0.7191
Return On Investment (TTM),0.8017000000000001
Revenue Per Employee (TTM),379954.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),16.44
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2015-09-28 00:00:00
ford since,2021-08-06 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2015-12-29 00:00:00
