,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,4.88,5.94,4.4,5.52,11.57,7.02,,,,,
low,4.24,2.08,1.25,1.19,4.71,1.27,,,,,
change,0.052300000000000006,-0.4449,-0.19760000000000003,1.3561,0.3149,-0.6584000000000001,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,15397.0,31957.0,28086.0,274261.0,Balance Sheet
Short Term Investments,,,,,,,72970.0,21421.0,14705.0,10369.0,Balance Sheet
Cash and Short Term Invs,,,,,,,88367.0,53378.0,42791.0,284630.0,Balance Sheet
"Total Receivables, Net",,,,,,,0.0,,,468.0,Balance Sheet
Total Inventory,,,,,,,2760.0,3406.0,4126.0,0.0,Balance Sheet
Prepaid Expenses,,,,,,,4678.0,5766.0,3853.0,6022.0,Balance Sheet
Total Current Assets,,,,,,,95805.0,62550.0,50770.0,291120.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,2657.0,2527.0,2394.0,2330.0,Balance Sheet
Long Term Investments,,,,,,,2022.0,0.0,,,Balance Sheet
Other Long Term Assets,,,,,,,56.0,439.0,399.0,430.0,Balance Sheet
Total Assets,,,,,,,100540.0,65516.0,53563.0,293880.0,Balance Sheet
Accounts Payable,,,,,,,2788.0,3494.0,1743.0,3282.0,Balance Sheet
Accrued Expenses,,,,,,,13108.0,11718.0,16682.0,14428.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,14000.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,,,4846.0,,Balance Sheet
Total Current Liabilities,,,,,,,29896.0,15212.0,23271.0,17710.0,Balance Sheet
Total Long Term Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,,14000.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,,2392.0,2506.0,2364.0,2218.0,Balance Sheet
Total Liabilities,,,,,,,32288.0,17718.0,25635.0,19928.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,87.0,87.0,87.0,88.0,Balance Sheet
Additional Paid-In Capital,,,,,,,953782.0,958147.0,961740.0,966370.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-885596.0,-910363.0,-933831.0,-692469.0,Balance Sheet
"Other Equity, Total",,,,,,,-21.0,-73.0,-68.0,-37.0,Balance Sheet
Total Equity,,,,,,,68252.0,47798.0,27928.0,273952.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,100540.0,65516.0,53563.0,293880.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,86884.0,87436.0,87436.0,88045.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,46.0,15.0,440.0,32555.0,Income Statement
"Cost of Revenue, Total",,,,,,,,114.0,0.0,333.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,3724.0,3827.0,4074.0,3591.0,Income Statement
Labor & Related Expense,,,,,,,1517.0,1805.0,1766.0,1722.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,5241.0,5632.0,5840.0,5313.0,Income Statement
Research & Development,,,,,,,34337.0,19040.0,18047.0,15263.0,Income Statement
Unusual Expense (Income),,,,,,,0.0,0.0,0.0,0.0,Income Statement
Total Operating Expense,,,,,,,39578.0,24786.0,23887.0,20909.0,Income Statement
Total Operating Income,,,,,,,-39532.0,-24771.0,-23447.0,11646.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,,,,-21.0,,Income Statement
Gain(Loss)on Sale of Assets,,,,,,,,,,229670.0,Income Statement
Income Before Tax,,,,,,,-39498.0,-24767.0,-23468.0,241515.0,Income Statement
Income Tax - Total,,,,,,,,,,153.0,Income Statement
Income After Tax,,,,,,,-39498.0,-24767.0,-23468.0,241362.0,Income Statement
Net Inc Before Extra Items,,,,,,,-39498.0,-24767.0,-23468.0,241362.0,Income Statement
Total Net Income,,,,,,,-39498.0,-24767.0,-23468.0,241362.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,-39498.0,-24767.0,-23468.0,241362.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,-39498.0,-24767.0,-23468.0,241362.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,86888.0,87089.0,87436.0,87635.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,-0.45,-0.28,-0.27,2.75,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,-0.45,-0.28,-0.27,2.75,Income Statement
Diluted Weighted Average Shares,,,,,,,86888.0,87089.0,87436.0,87814.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,-0.45,-0.28,-0.27,2.75,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,-0.45,-0.28,-0.27,2.75,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,,24.0,24.0,24.0,25.0,Income Statement
Total Special Items,,,,,,,0.0,0.0,0.0,-229670.0,Income Statement
Normalzd Income Before Tax,,,,,,,-39498.0,-24767.0,-23468.0,11845.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,0.0,0.0,0.0,-146.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,0.0,0.0,0.0,8.0,Income Statement
Normalized Income After Tax,,,,,,,-39498.0,-24767.0,-23468.0,11838.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,-39498.0,-24767.0,-23468.0,11838.0,Income Statement
Basic Normalized EPS,,,,,,,-0.45,-0.28,-0.27,0.14,Income Statement
Diluted Normalized EPS,,,,,,,-0.45,-0.28,-0.27,0.13,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,-173236.0,-24767.0,-48235.0,193127.0,Cash Flow
Depreciation/Depletion,,,,,,,167.0,24.0,48.0,73.0,Cash Flow
Unusual Items,,,,,,,-2.0,-1.0,-1.0,-229671.0,Cash Flow
Other Non-Cash Items,,,,,,,56852.0,3857.0,7521.0,11397.0,Cash Flow
Non-Cash Items,,,,,,,56850.0,3856.0,7520.0,-218274.0,Cash Flow
Accounts Receivable,,,,,,,340.0,0.0,0.0,-468.0,Cash Flow
Inventories,,,,,,,-2760.0,-646.0,-1365.0,-2467.0,Cash Flow
Prepaid Expenses,,,,,,,-2352.0,-1002.0,917.0,-1687.0,Cash Flow
Accounts Payable,,,,,,,14000.0,0.0,0.0,0.0,Cash Flow
Payable/Accrued,,,,,,,7061.0,-912.0,7108.0,2817.0,Cash Flow
Changes in Working Capital,,,,,,,16289.0,-2560.0,6660.0,-1805.0,Cash Flow
Total Cash from Operations,,,,,,,-99930.0,-23447.0,-34007.0,-26879.0,Cash Flow
Capital Expenditures,,,,,,,-207.0,0.0,0.0,-72.0,Cash Flow
Sale of Fixed Assets,,,,,,,0.0,,,,Cash Flow
Sale/Maturity of Investment,,,,,,,71065.0,58725.0,65425.0,309818.0,Cash Flow
Purchase of Investments,,,,,,,-114949.0,-5258.0,-5258.0,-11310.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,-43884.0,53467.0,60167.0,298508.0,Cash Flow
Total Cash from Investing,,,,,,,-44091.0,53467.0,60167.0,298436.0,Cash Flow
Financing Cash Flow Items,,,,,,,108598.0,438.0,427.0,699.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,3831.0,102.0,102.0,608.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,,-14000.0,-14000.0,-14000.0,Cash Flow
Total Cash From Financing,,,,,,,112429.0,-13460.0,-13471.0,-12693.0,Cash Flow
Net Change in Cash,,,,,,,-31592.0,16560.0,12689.0,258864.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,46989.0,15397.0,15397.0,15397.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,15397.0,31957.0,28086.0,274261.0,Cash Flow
"Depreciation, Supplemental",,,,,,,167.0,24.0,48.0,73.0,Cash Flow
Free Cash Flow,,,,,,,-100137.0,-23447.0,-34007.0,-26951.0,
FCF Growth,,,,,,,,-0.7658507844253373,0.4503774470081461,-0.20748669391595853,
