,CMRX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",1.26,471.78,Valuation,0.002670736360167875
Price/Sales (TTM),5.86,45.03,Valuation,0.13013546524539196
Price/Book (MRQ),0.71,12.61,Valuation,0.056304520222045996
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9851000000000001,0.5874,Profitability,1.6770514130064693
Operating Profit Margin (TTM),-2.3023,-4.7459,Profitability,0.4851134663604374
Net Profit Margin (TTM),4.6475,-4.5467,Profitability,-1.0221699254404293
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),11.240499999999999,-0.0014000000000000002,Gowth rates,-8028.92857142857
EPS Growth (TTM),1.9558000000000002,0.027200000000000002,Gowth rates,71.90441176470588
Revenue Growth (MRQ),72.9886,1.3963999999999999,Gowth rates,52.269120595817824
Revenue Growth (TTM),9.8274,0.9747,Gowth rates,10.082486919052016
Return On Equity (TTM),0.8117000000000001,0.1967,Effectiveness,4.126588713777326
Return On Assets (TTM),0.7191,0.0016,Effectiveness,449.43749999999994
Return On Investment (TTM),0.8017000000000001,0.0219,Effectiveness,36.60730593607306
Revenue Per Employee (TTM),379954.0,1476201.0,Effectiveness,0.2573863586327336
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0036,Financial strength,-2.777777777777778
Quick Ratio (MRQ),16.44,2.06,Financial strength,7.980582524271845
Interest Coverage (MRQ),,2.69,Financial strength,
