,IGT
% Below High,0.2263
% Held by Institutions,0.475
52-Wk Range,['15.01 - 30.84']
Annual Dividend $,0.8
Annual Dividend %,0.0335
Ask,24.15
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,20.85
Bid Size,100.0
Closing Price,23.86
Day Change $,-0.01
Day Change %,-0.0004
Day High,24.08
Day Low,23.76
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",1.76
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.658
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.54
Prev Close,23.87
Short Interest,0.0341
Today's Open,23.91
Volume,332904.0
Volume 10-day Avg,1299365.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.9263157894736844
Growth 1yr High Est,0.5384615384615383
Growth 1yr Consensus Est,0.7323886639676114
Growth 2yr Low Est,0.3019557089444925
Growth 2yr High Est,0.24173076923076914
Growth 2yr Consensus Est,0.2718432390876308
Growth 5yr Low Est,0.15097785447224624
Growth 5yr High Est,0.12086538461538457
Growth 5yr Consensus Est,0.1359216195438154
Growth 5yr Actual/Est,-2.4694943456844443
Growth 3yr Historic,-2.307303476946334
Price/Earnings (TTM),13.54327
Price/Sales (TTM),1.14277
Price/Book (MRQ),3.0209
Price/Cash Flow (TTM),4.81275
5yr Low,3.59
5yr High,32.95
5yr Avg Return,0.024533333333333348
EPS Growth 5yr,-0.21360420000000002
Revenue Growth 5yr,-0.045235399999999995
Dividend Growth 5yr,
Short Int Current Month,3382387.0
Short Int Prev Month,3878141.0
Short Int Pct of Float,0.034089100000000004
Days to Cover,1.71964
Float,99.22201
Shares Outstanding,200.296
Institutions Holding Shares,269.0
FCF Growth 5yr,0.2864476545511028
"Price/Earnings (TTM, GAAP)",13.54
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4675
Operating Profit Margin (TTM),0.2095
Net Profit Margin (TTM),0.1191
Annual Dividend Yield,0.0335
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),66.8804
EPS Growth (TTM),2.5127
Revenue Growth (MRQ),0.0382
Revenue Growth (TTM),0.1629
Return On Equity (TTM),0.2477
Return On Assets (TTM),0.04650000000000001
Return On Investment (TTM),0.059500000000000004
Revenue Per Employee (TTM),398286.0
Total Debt/Total Capital (MRQ),0.7253000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.01
Interest Coverage (MRQ),5.86
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-10-11 00:00:00
researchTeam since,2022-09-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
