,STR
% Below High,0.0679
% Held by Institutions,4.5644
52-Wk Range,['17.04 - 32.85']
Annual Dividend $,2.88
Annual Dividend %,0.0926
Ask,30.67
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.7
Bid,30.57
Bid Size,400.0
Day Change $,-0.48
Day Change %,-0.0154
Day High,30.98
Day Low,30.0
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",1.19
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.46
Last (size),100.0
Last (time),3:34p ET 11/28/22
Market Cap,387.9M
"P/E Ratio (TTM, GAAP)",26.19
Prev Close,31.1
Price,30.62
Short Interest,0.2979
Today's Open,30.31
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,12.058823529411764
Growth 1yr High Est,5.631578947368421
Growth 1yr Consensus Est,8.845201238390093
Growth 2yr Low Est,5.9280604133545305
Growth 2yr High Est,3.143170426065163
Growth 2yr Consensus Est,4.535615419709847
Growth 5yr Low Est,2.9640302066772652
Growth 5yr High Est,1.5715852130325816
Growth 5yr Consensus Est,2.2678077098549236
Growth 5yr Actual/Est,1.262589382935698
Growth 3yr Historic,0.9403225806451614
Price/Earnings (TTM),26.19014
Price/Sales (TTM),8.99763
Price/Book (MRQ),11.76302
Price/Cash Flow (TTM),9.8879
5yr Low,6.4
5yr High,46.8
5yr Avg Return,0.0406
Short Int Current Month,3290853.0
Short Int Prev Month,3442641.0
Short Int Pct of Float,0.29787009999999997
Days to Cover,9.04374
Float,11.50346
Shares Outstanding,83.84083
Institutions Holding Shares,137.0
FCF Growth 5yr,-2.3207942408685907
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",26.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9345
Operating Profit Margin (TTM),0.535
Net Profit Margin (TTM),0.6515000000000001
Annual Dividend Yield,0.0926
Dividend Change %,0.8824
"Dividend Growth Rate, 3 Years",0.716
EPS Growth (MRQ),8.488
EPS Growth (TTM),1.5521
Revenue Growth (MRQ),0.3154
Revenue Growth (TTM),4.0508999999999995
Return On Equity (TTM),0.11230000000000001
Return On Assets (TTM),0.1371
Return On Investment (TTM),0.14300000000000002
Revenue Per Employee (TTM),26344820.0
Total Debt/Total Capital (MRQ),0.27090000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0097
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2022-08-25 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
