,IHRT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,15.8,Valuation,
Price/Sales (TTM),0.3,2.92,Valuation,0.10273972602739725
Price/Book (MRQ),1.97,3.23,Valuation,0.6099071207430341
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.6224000000000001,0.5389,Profitability,1.1549452588606421
Operating Profit Margin (TTM),0.005699999999999999,0.14,Profitability,0.0407142857142857
Net Profit Margin (TTM),-0.0601,0.1103,Profitability,-0.5448776065276519
Annual Dividend Yield,,0.0176,Dividend,
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),-22.6715,0.7041,Gowth rates,-32.19926146854141
EPS Growth (TTM),0.1278,0.0154,Gowth rates,8.298701298701298
Revenue Growth (MRQ),0.0366,0.1423,Gowth rates,0.2572030920590302
Revenue Growth (TTM),0.12140000000000001,0.1115,Gowth rates,1.0887892376681614
Return On Equity (TTM),-0.3392,0.1409,Effectiveness,-2.407381121362669
Return On Assets (TTM),-0.027000000000000003,0.0388,Effectiveness,-0.6958762886597939
Return On Investment (TTM),-0.029700000000000004,0.049800000000000004,Effectiveness,-0.5963855421686748
Revenue Per Employee (TTM),419217.0,648551.0,Effectiveness,0.6463901836555644
Total Debt/Total Capital (MRQ),0.9036,0.5946,Financial strength,1.5196770938446014
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0004,Financial strength,0.25
Quick Ratio (MRQ),,0.26,Financial strength,
Interest Coverage (MRQ),1.34,5.53,Financial strength,0.2423146473779385
