,AMPS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",102.3,39.39,Valuation,2.597105864432597
Price/Sales (TTM),11.41,5.57,Valuation,2.0484739676840213
Price/Book (MRQ),3.15,3.81,Valuation,0.8267716535433071
"PEG Ratio (TTM, GAAP)",,0.25,Valuation,
Gross Profit Margin (TTM),0.8243,0.373,Profitability,2.2099195710455763
Operating Profit Margin (TTM),0.3679,-0.0075,Profitability,-49.053333333333335
Net Profit Margin (TTM),-0.0046,-0.020800000000000003,Profitability,0.22115384615384612
Annual Dividend Yield,,0.032100000000000004,Dividend,
Dividend Change %,,0.151,Dividend,
"Dividend Growth Rate, 3 Years",,0.023,Dividend,
EPS Growth (MRQ),-4.9378,13.3408,Gowth rates,-0.37012772847205566
EPS Growth (TTM),1.4244999999999999,1.5813,Gowth rates,0.9008410801239486
Revenue Growth (MRQ),0.22920000000000001,0.26,Gowth rates,0.8815384615384616
Revenue Growth (TTM),0.5609000000000001,0.1776,Gowth rates,3.158220720720721
Return On Equity (TTM),0.0802,0.0336,Effectiveness,2.386904761904762
Return On Assets (TTM),-0.0005,-0.1124,Effectiveness,0.004448398576512456
Return On Investment (TTM),-0.0005,0.0333,Effectiveness,-0.015015015015015013
Revenue Per Employee (TTM),2181296.0,1716942.0,Effectiveness,1.270454098041751
Total Debt/Total Capital (MRQ),0.5894,0.5949,Financial strength,0.9907547486972601
Change in Debt/Total Capital Quarter over Quarter,-0.0026000000000000003,-0.0003,Financial strength,8.666666666666668
Quick Ratio (MRQ),,1.11,Financial strength,
Interest Coverage (MRQ),1.54,14.12,Financial strength,0.10906515580736545
