,BMI
% Below High,0.0104
% Held by Institutions,0.9359000000000001
52-Wk Range,['73.20 - 117.97']
Annual Dividend $,0.9
Annual Dividend %,0.0077
Ask,119.06
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.9
Bid,108.0
Bid Size,100.0
Closing Price,116.74
Day Change $,-0.05
Day Change %,-0.0004
Day High,117.47
Day Low,116.42
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",2.26
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.33799999999999997
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",51.76
Prev Close,116.79
Short Interest,0.0355
Today's Open,116.9
Volume,32603.0
Volume 10-day Avg,98832.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.3575757575757579
Growth 1yr High Est,0.3742690058479532
Growth 1yr Consensus Est,0.36592238171185554
Growth 2yr Low Est,0.22566287878787894
Growth 2yr High Est,0.2722408859027
Growth 2yr Consensus Est,0.24895188234528948
Growth 5yr Low Est,0.12064393939393941
Growth 5yr High Est,0.1436505634332777
Growth 5yr Consensus Est,0.13214725141360856
Growth 5yr Actual/Est,0.1248310350888906
Growth 3yr Historic,0.07011466794075488
Price/Earnings (TTM),51.75747
Price/Sales (TTM),6.16773
Price/Book (MRQ),8.08043
Price/Cash Flow (TTM),36.63076
5yr Low,41.0
5yr High,117.97
5yr Avg Return,0.18704999999999994
EPS Growth 5yr,0.1329663
Revenue Growth 5yr,0.0511042
Dividend Growth 5yr,0.1206475
Short Int Current Month,1031356.0
Short Int Prev Month,1110032.0
Short Int Pct of Float,0.0354645
Days to Cover,6.42778
Float,29.09077
Shares Outstanding,29.26915
Institutions Holding Shares,375.0
FCF Growth 5yr,0.7207410651063751
"Price/Earnings (TTM, GAAP)",51.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3932
Operating Profit Margin (TTM),0.1583
Net Profit Margin (TTM),0.11960000000000001
Annual Dividend Yield,0.0077
Dividend Change %,0.0857
"Dividend Growth Rate, 3 Years",0.1072
EPS Growth (MRQ),0.0751
EPS Growth (TTM),0.1659
Revenue Growth (MRQ),0.0738
Revenue Growth (TTM),0.1499
Return On Equity (TTM),0.16260000000000002
Return On Assets (TTM),0.12119999999999999
Return On Investment (TTM),0.14529999999999998
Revenue Per Employee (TTM),301575.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.08
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-06-28 00:00:00
ford since,2019-04-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-04 00:00:00
