,HOPE
% Above Low,0.0913
% Held by Institutions,0.8634000000000001
52-Wk Range,['12.48 - 17.68']
Annual Dividend $,0.56
Annual Dividend %,0.041100000000000005
Ask,14.04
Ask Size,300.0
B/A Ratio,42.0
B/A Size,12600x300
Beta,1.2
Bid,9.94
Bid Size,12600.0
Closing Price,13.62
Day Change $,0.06
Day Change %,0.0044
Day High,13.73
Day Low,13.6
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",1.81
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.302
Last (size),55.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",7.53
Prev Close,13.56
Short Interest,0.0281
Today's Open,13.64
Volume,184384.0
Volume 10-day Avg,482676.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.10429447852760743
Growth 1yr High Est,0.12650602409638556
Growth 1yr Consensus Est,0.1154002513119965
Growth 2yr Low Est,-0.017297205180640707
Growth 2yr High Est,0.08464338637974356
Growth 2yr Consensus Est,0.033673090599551425
Growth 5yr Low Est,0.12365034845863063
Growth 5yr High Est,0.15773522702445825
Growth 5yr Consensus Est,0.14069278774154445
Growth 5yr Actual/Est,0.14381734588627734
Growth 3yr Historic,0.12777777777777774
Price/Earnings (TTM),7.53427
Price/Sales (TTM),2.65211
Price/Book (MRQ),0.82365
Price/Cash Flow (TTM),
5yr Low,7.03
5yr High,19.86
5yr Avg Return,-0.021133333333333327
EPS Growth 5yr,0.0862257
Revenue Growth 5yr,0.0607083
Dividend Growth 5yr,0.0447084
Short Int Current Month,3190430.0
Short Int Prev Month,3066675.0
Short Int Pct of Float,0.0280843
Days to Cover,5.43108
Float,113.5944
Shares Outstanding,119.4818
Institutions Holding Shares,304.0
FCF Growth 5yr,0.1292462444002406
"Price/Earnings (TTM, GAAP)",7.53
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),0.3556
Annual Dividend Yield,0.041100000000000005
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0122
EPS Growth (MRQ),0.0379
EPS Growth (TTM),0.2348
Revenue Growth (MRQ),0.19870000000000002
Revenue Growth (TTM),0.1313
Return On Equity (TTM),0.1077
Return On Assets (TTM),0.0118
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-12-09 00:00:00
researchTeam since,2022-10-07 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-07 00:00:00
cfra since,
marketEdge opinion since,
