,BDC
Price/Earnings (TTM),22.9404
Price/Sales (TTM),1.31992
Price/Book (MRQ),3.02559
Price/Cash Flow (TTM),13.98499
5yr Low,25.54
5yr High,87.15
5yr Avg Return,0.049199999999999994
EPS Growth 5yr,-0.1235266
Revenue Growth 5yr,0.0043269
Dividend Growth 5yr,0.0
Short Int Current Month,841654.0
Short Int Prev Month,983376.0
Short Int Pct of Float,0.020005199999999997
Days to Cover,2.44292
Float,42.07889
Shares Outstanding,42.80564
Institutions Holding Shares,362.0
% Held by Institutions,1.056033
FCF Growth 5yr,-1.178365703167218
