,BDC
% Below High,0.037200000000000004
% Held by Institutions,1.056
52-Wk Range,['47.89 - 82.83']
Annual Dividend $,0.2
Annual Dividend %,0.0025
Ask,83.72
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,77.19
Bid Size,100.0
Closing Price,79.75
Day Change $,1.0
Day Change %,0.0127
Day High,79.86
Day Low,78.27
Dividend Pay Date,2022-10-06 00:00:00
"EPS (TTM, GAAP)",3.48
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.376
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.94
Prev Close,78.75
Short Interest,0.02
Today's Open,78.31
Volume,90089.0
Volume 10-day Avg,316912.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2765957446808509
Growth 1yr High Est,0.33193277310924363
Growth 1yr Consensus Est,0.30426425889504727
Growth 2yr Low Est,0.15913120567375882
Growth 2yr High Est,0.21407364207512658
Growth 2yr Consensus Est,0.1866024238744427
Growth 5yr Low Est,0.18847739208902936
Growth 5yr High Est,0.18394665362921409
Growth 5yr Consensus Est,0.18621202285912172
Growth 5yr Actual/Est,0.17306089074163772
Growth 3yr Historic,0.086647224456959
Price/Earnings (TTM),22.9404
Price/Sales (TTM),1.31992
Price/Book (MRQ),3.02559
Price/Cash Flow (TTM),13.98499
5yr Low,25.54
5yr High,87.15
5yr Avg Return,0.049199999999999994
EPS Growth 5yr,-0.1235266
Revenue Growth 5yr,0.0043269
Dividend Growth 5yr,0.0
Short Int Current Month,841654.0
Short Int Prev Month,983376.0
Short Int Pct of Float,0.020005199999999997
Days to Cover,2.44292
Float,42.07889
Shares Outstanding,42.80564
Institutions Holding Shares,362.0
FCF Growth 5yr,-1.178365703167218
"Price/Earnings (TTM, GAAP)",22.94
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.353
Operating Profit Margin (TTM),0.083
Net Profit Margin (TTM),0.0599
Annual Dividend Yield,0.0025
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.799
EPS Growth (TTM),0.17500000000000002
Revenue Growth (MRQ),0.0059
Revenue Growth (TTM),0.1821
Return On Equity (TTM),0.1492
Return On Assets (TTM),0.0492
Return On Investment (TTM),0.0605
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.47950000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),1.89
Interest Coverage (MRQ),9.55
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-12 00:00:00
theStreet since,2022-05-27 00:00:00
ford since,2022-08-12 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
