,PAYO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,53.11,Valuation,
Price/Sales (TTM),3.31,19.35,Valuation,0.1710594315245478
Price/Book (MRQ),3.63,19.03,Valuation,0.1907514450867052
"PEG Ratio (TTM, GAAP)",,3.41,Valuation,
Gross Profit Margin (TTM),,0.44520000000000004,Profitability,
Operating Profit Margin (TTM),-0.030600000000000002,0.3027,Profitability,-0.10109018830525272
Net Profit Margin (TTM),-0.0355,0.23600000000000002,Profitability,-0.1504237288135593
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-7.260800000000001,-3.5569,Gowth rates,2.041328122803565
EPS Growth (TTM),0.6659999999999999,0.15560000000000002,Gowth rates,4.280205655526991
Revenue Growth (MRQ),0.0724,0.16460000000000002,Gowth rates,0.4398541919805589
Revenue Growth (TTM),0.7454000000000001,0.2273,Gowth rates,3.2793664760228776
Return On Equity (TTM),-0.0404,0.5459,Effectiveness,-0.07400622824693166
Return On Assets (TTM),-0.0040999999999999995,0.1131,Effectiveness,-0.036251105216622455
Return On Investment (TTM),-0.0355,0.18910000000000002,Effectiveness,-0.1877313590692755
Revenue Per Employee (TTM),311750.0,686074.0,Effectiveness,0.45439704754880667
Total Debt/Total Capital (MRQ),0.028700000000000003,0.5613,Financial strength,0.05113130233386781
Change in Debt/Total Capital Quarter over Quarter,,0.0048,Financial strength,
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),,27.21,Financial strength,
