,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.65,14.5,8.04,,,,,
low,9.6,6.06,3.33,,,,,
change,0.061900000000000004,-0.3013,-0.2503,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,466.0,466.0,492.0,508.0,Balance Sheet
"Trade Accts Recvble, Net",,,,14.0,14.0,14.0,21.0,Balance Sheet
Other Receivables,,,,54.0,49.0,46.0,42.0,Balance Sheet
"Total Receivables, Net",,,,68.0,64.0,60.0,63.0,Balance Sheet
Prepaid Expenses,,,,,19.0,20.0,23.0,Balance Sheet
Restricted Cash - Current,,,,3.0,3.0,3.0,3.0,Balance Sheet
Other Current Assets,,,,4426.0,4634.0,5144.0,5043.0,Balance Sheet
"Other Curr. Assets, Total",,,,4429.0,4637.0,5147.0,5046.0,Balance Sheet
Total Current Assets,,,,4963.0,5186.0,5720.0,5640.0,Balance Sheet
Buildings,,,,,9.0,9.0,10.0,Balance Sheet
Machinery/Equipment,,,,,35.0,37.0,31.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,22.0,23.0,23.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,66.0,70.0,64.0,Balance Sheet
Accumulated Depreciation,,,,,-35.0,-37.0,-32.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,25.0,31.0,32.0,32.0,Balance Sheet
"Goodwill, Net",,,,21.0,21.0,19.0,18.0,Balance Sheet
Intangibles - Gross,,,,,74.0,77.0,80.0,Balance Sheet
Accum. Intangible Amort.,,,,,-35.0,-38.0,-40.0,Balance Sheet
Intangibles - Net,,,,38.0,40.0,40.0,40.0,Balance Sheet
Long Term Investments,,,,7.0,7.0,7.0,6.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,5.0,3.0,4.0,4.0,Balance Sheet
Restricted Cash - LT,,,,5.0,5.0,5.0,4.0,Balance Sheet
Other Long Term Assets,,,,15.0,15.0,15.0,14.0,Balance Sheet
Total Assets,,,,5079.0,5308.0,5842.0,5759.0,Balance Sheet
Accounts Payable,,,,17.0,17.0,27.0,27.0,Balance Sheet
Accrued Expenses,,,,,66.0,71.0,85.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,0.0,,,,Balance Sheet
Other Payables,,,,79.0,2.0,2.0,2.0,Balance Sheet
Other Current Liabilities,,,,4401.0,4631.0,5141.0,5040.0,Balance Sheet
"Other Curr. Lblts, Total",,,,4481.0,4633.0,5143.0,5042.0,Balance Sheet
Total Current Liabilities,,,,4498.0,4716.0,5241.0,5153.0,Balance Sheet
Total Long Term Debt,,,,14.0,14.0,15.0,16.0,Balance Sheet
Total Debt,,,,14.0,14.0,15.0,16.0,Balance Sheet
"Other Liabilities, Total",,,,80.0,55.0,44.0,58.0,Balance Sheet
Total Liabilities,,,,4592.0,4786.0,5299.0,5227.0,Balance Sheet
Common Stock,,,,3.0,3.0,3.0,4.0,Balance Sheet
Additional Paid-In Capital,,,,575.0,592.0,612.0,630.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-94.0,-76.0,-72.0,-98.0,Balance Sheet
"Other Equity, Total",,,,2.0,3.0,-1.0,-2.0,Balance Sheet
Total Equity,,,,487.0,522.0,543.0,533.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,5079.0,5308.0,5842.0,5759.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,340.0,343.0,346.0,350.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,139219.0,136958.0,148190.0,158917.0,Income Statement
Selling/Gen/Admin Expense,,,,19762.0,14001.0,16937.0,17229.0,Income Statement
Labor & Related Expense,,,,,7827.0,6897.0,8120.0,Income Statement
Advertising Expense,,,,33901.0,30769.0,33178.0,37425.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,53663.0,52597.0,57012.0,62774.0,Income Statement
Research & Development,,,,25462.0,25915.0,26607.0,29617.0,Income Statement
Depreciation,,,,1902.0,1916.0,2155.0,2696.0,Income Statement
Amortiz of Intangibles,,,,2632.0,2539.0,3016.0,3203.0,Income Statement
Depreciation/Amortization,,,,4534.0,4455.0,5171.0,5899.0,Income Statement
Unusual Expense (Income),,,,0.0,,,,Income Statement
"Other Operat Expse, Total",,,,59753.0,60334.0,61604.0,65730.0,Income Statement
Total Operating Expense,,,,143412.0,143301.0,150394.0,164020.0,Income Statement
Total Operating Income,,,,-4193.0,-6343.0,-2204.0,-5103.0,Income Statement
"Other, Net",,,,-11562.0,28501.0,8007.0,-18712.0,Income Statement
Income Before Tax,,,,-15755.0,22158.0,5803.0,-23815.0,Income Statement
Income Tax - Total,,,,3121.0,1967.0,1374.0,2635.0,Income Statement
Income After Tax,,,,-18876.0,20191.0,4429.0,-26450.0,Income Statement
Equity In Affiliates,,,,-26.0,20.0,-7.0,-2.0,Income Statement
Net Inc Before Extra Items,,,,-18902.0,20211.0,4422.0,-26452.0,Income Statement
Total Net Income,,,,-18902.0,20211.0,4422.0,-26452.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-18902.0,20211.0,4422.0,-26452.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-18902.0,20211.0,4422.0,-26452.0,Income Statement
Basic/Primary Weighted Average Shares,,,,344513.0,342325.0,345522.0,349741.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.05,0.06,0.01,-0.08,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.05,0.06,0.01,-0.08,Income Statement
Diluted Weighted Average Shares,,,,344513.0,365992.0,366014.0,349741.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.05,0.06,0.01,-0.08,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.05,0.06,0.01,-0.08,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,1902.0,1916.0,2155.0,2082.0,Income Statement
Total Special Items,,,,0.0,-619.0,-116.0,-1588.0,Income Statement
Normalzd Income Before Tax,,,,-15755.0,21539.0,5687.0,-25403.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,0.0,-55.0,-27.0,-556.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,3121.0,1912.0,1347.0,2079.0,Income Statement
Normalized Income After Tax,,,,-18876.0,19627.0,4340.0,-27482.0,Income Statement
Normalzd Inc Avail to Common,,,,-18902.0,19647.0,4333.0,-27484.0,Income Statement
Basic Normalized EPS,,,,-0.05,0.06,0.01,-0.08,Income Statement
Diluted Normalized EPS,,,,-0.05,0.05,0.01,-0.08,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-34.0,20.0,25.0,-2.0,Cash Flow
Depreciation/Depletion,,,,18.0,4.0,10.0,16.0,Cash Flow
Unusual Items,,,,-12.0,-31.0,-44.0,-29.0,Cash Flow
Other Non-Cash Items,,,,42.0,15.0,29.0,43.0,Cash Flow
Non-Cash Items,,,,30.0,-17.0,-15.0,14.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,4.0,,,,Cash Flow
Accounts Receivable,,,,4.0,0.0,0.0,-7.0,Cash Flow
Other Assets,,,,-7.0,-2.0,-2.0,-3.0,Cash Flow
Accounts Payable,,,,0.0,0.0,10.0,9.0,Cash Flow
Changes in Working Capital,,,,6.0,-6.0,10.0,17.0,Cash Flow
Total Cash from Operations,,,,20.0,2.0,29.0,44.0,Cash Flow
Purchase of Fixed Assets,,,,-7.0,-3.0,-5.0,-7.0,Cash Flow
Software Development Costs,,,,-14.0,-4.0,-8.0,-10.0,Cash Flow
Capital Expenditures,,,,-21.0,-7.0,-13.0,-17.0,Cash Flow
Acquisition of Business,,,,0.0,,,,Cash Flow
Sale/Maturity of Investment,,,,0.0,,,,Cash Flow
Other Investing Cash Flow,,,,31.0,34.0,-22.0,3.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,31.0,34.0,-22.0,3.0,Cash Flow
Total Cash from Investing,,,,10.0,28.0,-35.0,-14.0,Cash Flow
Financing Cash Flow Items,,,,1443.0,229.0,739.0,638.0,Cash Flow
"Preferred Stock, Net",,,,-40.0,,,0.0,Cash Flow
Options Exercised,,,,19.0,4.0,11.0,15.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,-21.0,4.0,11.0,15.0,Cash Flow
Long Term Debt Issued,,,,17.0,1.0,1.0,2.0,Cash Flow
Long Term Debt Reduction,,,,-44.0,,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,-26.0,1.0,1.0,2.0,Cash Flow
Total Cash From Financing,,,,1396.0,234.0,752.0,656.0,Cash Flow
Foreign Exchange Effects,,,,-1.0,0.0,-2.0,-3.0,Cash Flow
Net Change in Cash,,,,1425.0,264.0,744.0,683.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,3413.0,4838.0,4838.0,4838.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,4838.0,5102.0,5582.0,5521.0,Cash Flow
"Depreciation, Supplemental",,,,18.0,4.0,10.0,16.0,Cash Flow
Free Cash Flow,,,,-1.0,-5.0,16.0,27.0,
FCF Growth,,,,,4.0,-4.2,0.6875,
