,PAYO
% Above Low,0.6631999999999999
% Held by Institutions,0.9240999999999999
52-Wk Range,['3.33 - 8.04']
Annual Dividend $,
Annual Dividend %,
Ask,5.54
Ask Size,2100.0
B/A Ratio,0.6666666666666666
B/A Size,1400x2100
Beta,
Bid,5.53
Bid Size,1400.0
Day Change $,0.01
Day Change %,0.0018
Day High,5.58
Day Low,5.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.06
Ex-dividend Date,No dividend
Historical Volatility,0.753
Last (size),400.0
Last (time),10:09a ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.52
Price,5.53
Short Interest,0.0286
Today's Open,5.5
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.08333333333333326
Growth 2yr High Est,inf
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,-0.08333333333333326
Growth 5yr High Est,inf
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,-0.5242424242424243
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),3.31411
Price/Book (MRQ),3.62917
Price/Cash Flow (TTM),
5yr Low,3.33
5yr High,14.5
5yr Avg Return,-0.16323333333333334
Short Int Current Month,7978407.0
Short Int Prev Month,10130146.0
Short Int Pct of Float,0.028620999999999997
Days to Cover,1.87775
Float,295.7886
Shares Outstanding,350.1937
Institutions Holding Shares,210.0
FCF Growth 5yr,0.16249999999999995
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.030600000000000002
Net Profit Margin (TTM),-0.0355
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-7.260800000000001
EPS Growth (TTM),0.6659999999999999
Revenue Growth (MRQ),0.0724
Revenue Growth (TTM),0.7454000000000001
Return On Equity (TTM),-0.0404
Return On Assets (TTM),-0.0040999999999999995
Return On Investment (TTM),-0.0355
Revenue Per Employee (TTM),311750.0
Total Debt/Total Capital (MRQ),0.028700000000000003
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-25 00:00:00
theStreet since,2022-08-25 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
