,TPIC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,35.65,Valuation,
Price/Sales (TTM),0.29,12.92,Valuation,0.02244582043343653
Price/Book (MRQ),5.26,9.0,Valuation,0.5844444444444444
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),-0.0188,0.2968,Profitability,-0.06334231805929919
Operating Profit Margin (TTM),-0.0547,-0.5081,Profitability,0.10765597323361543
Net Profit Margin (TTM),-0.0653,-0.706,Profitability,0.0924929178470255
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),0.18059999999999998,0.5871000000000001,Gowth rates,0.30761369443025033
EPS Growth (TTM),-1.1901000000000002,-1.2397,Gowth rates,0.9599903202387675
Revenue Growth (MRQ),0.015300000000000001,0.28940000000000005,Gowth rates,0.05286800276434001
Revenue Growth (TTM),-0.0678,0.22710000000000002,Gowth rates,-0.29854689564068687
Return On Equity (TTM),-1.4179,0.10210000000000001,Effectiveness,-13.887365328109695
Return On Assets (TTM),-0.1151,0.0479,Effectiveness,-2.4029227557411272
Return On Investment (TTM),-0.2626,0.0575,Effectiveness,-4.56695652173913
Revenue Per Employee (TTM),120427.0,348568.0,Effectiveness,0.3454906933510821
Total Debt/Total Capital (MRQ),0.1377,0.3799,Financial strength,0.3624638062648065
Change in Debt/Total Capital Quarter over Quarter,-0.0076,0.0017000000000000001,Financial strength,-4.470588235294118
Quick Ratio (MRQ),1.44,1.37,Financial strength,1.0510948905109487
Interest Coverage (MRQ),,9.61,Financial strength,
