,TPIC
% Above Low,0.3357
% Held by Institutions,0.8996
52-Wk Range,['8.46 - 25.05']
Annual Dividend $,
Annual Dividend %,
Ask,11.32
Ask Size,3200.0
Ask close,13.9
B/A Ratio,1.3125
B/A Size,4200x3200
Beta,1.7
Bid,10.9
Bid Size,4200.0
Bid close,8.94
Change Since Close,-0.19| |(-1.68%)
Closing Price,11.3
Day Change $,-0.51
Day Change %,-0.0432
Day High,12.07
Day Low,11.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.97
Ex-dividend Date,No dividend
Historical Volatility,0.875
Last (size),1.0
Last (time),4:00p ET 11/28/22
Last Trade,11.11
Market Cap,474.0M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,11.81
Short Interest,0.0907
Today's Open,11.68
Volume,609543.0
Volume 10-day Avg,561816.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,1.6632653061224487
Growth 1yr High Est,-inf
Growth 1yr Consensus Est,-inf
Growth 2yr Low Est,0.7281843771991554
Growth 2yr High Est,-inf
Growth 2yr Consensus Est,-inf
Growth 5yr Low Est,0.4854562514661036
Growth 5yr High Est,-inf
Growth 5yr Consensus Est,-inf
Growth 5yr Actual/Est,1.5597473731276548
Growth 3yr Historic,1.7722222222222221
Price/Earnings (TTM),
Price/Sales (TTM),0.29386
Price/Book (MRQ),5.25517
Price/Cash Flow (TTM),
5yr Low,8.46
5yr High,81.36
5yr Avg Return,0.15136666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.1763902
Dividend Growth 5yr,
Short Int Current Month,3712593.0
Short Int Prev Month,4345481.0
Short Int Pct of Float,0.0907021
Days to Cover,4.07801
Float,40.93349
Shares Outstanding,41.95119
Institutions Holding Shares,283.0
FCF Growth 5yr,0.19859284839600264
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.0188
Operating Profit Margin (TTM),-0.0547
Net Profit Margin (TTM),-0.0653
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.18059999999999998
EPS Growth (TTM),-1.1901000000000002
Revenue Growth (MRQ),0.015300000000000001
Revenue Growth (TTM),-0.0678
Return On Equity (TTM),-1.4179
Return On Assets (TTM),-0.1151
Return On Investment (TTM),-0.2626
Revenue Per Employee (TTM),120427.0
Total Debt/Total Capital (MRQ),0.1377
Change in Debt/Total Capital Quarter over Quarter,-0.0076
Quick Ratio (MRQ),1.44
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-07-16 00:00:00
theStreet since,2021-11-15 00:00:00
ford since,2022-07-15 00:00:00
cfra since,
marketEdge opinion since,
