,IRTC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),8.36,9.8,Valuation,0.8530612244897958
Price/Book (MRQ),13.27,10.31,Valuation,1.2870999030067893
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.6688,0.6196,Profitability,1.0794060684312459
Operating Profit Margin (TTM),-0.3296,0.047,Profitability,-7.012765957446809
Net Profit Margin (TTM),-0.3379,0.009300000000000001,Profitability,-36.33333333333333
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.10869999999999999,-0.4858,Gowth rates,-0.22375463153561134
EPS Growth (TTM),-0.6118,-0.2029,Gowth rates,3.015278462296698
Revenue Growth (MRQ),0.0179,0.1161,Gowth rates,0.15417743324720068
Revenue Growth (TTM),0.18850000000000003,0.18300000000000002,Gowth rates,1.030054644808743
Return On Equity (TTM),-0.48009999999999997,0.1068,Effectiveness,-4.4953183520599245
Return On Assets (TTM),-0.27899999999999997,0.0622,Effectiveness,-4.485530546623794
Return On Investment (TTM),-0.3406,0.0732,Effectiveness,-4.6530054644808745
Revenue Per Employee (TTM),223593.0,403586.0,Effectiveness,0.5540157488119013
Total Debt/Total Capital (MRQ),0.1274,0.3161,Financial strength,0.40303701360329014
Change in Debt/Total Capital Quarter over Quarter,0.005699999999999999,0.0125,Financial strength,0.4559999999999999
Quick Ratio (MRQ),3.25,2.25,Financial strength,1.4444444444444444
Interest Coverage (MRQ),-34.34,14.99,Financial strength,-2.2908605737158108
