,IRTC
% Above Low,0.2022
% Held by Institutions,0.9901000000000001
52-Wk Range,['87.77 - 169.54']
Annual Dividend $,
Annual Dividend %,
Ask,108.01
Ask Size,1600.0
B/A Ratio,0.125
B/A Size,200x1600
Beta,1.4
Bid,87.01
Bid Size,200.0
Closing Price,105.52
Day Change $,0.01
Day Change %,0.0001
Day High,106.28
Day Low,102.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.33
Ex-dividend Date,No dividend
Historical Volatility,0.7340000000000001
Last (size),14.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,105.51
Short Interest,0.0451
Today's Open,105.1
Volume,115000.0
Volume 10-day Avg,378655.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.07162534435261714
Growth 1yr High Est,0.24013157894736836
Growth 1yr Consensus Est,0.15587846164999275
Growth 2yr Low Est,-0.06315905018872997
Growth 2yr High Est,-0.12661856065894184
Growth 2yr Consensus Est,-0.0948888054238359
Growth 5yr Low Est,0.31996293205808807
Growth 5yr High Est,0.34415905479880066
Growth 5yr Consensus Est,0.3320609934284444
Growth 5yr Actual/Est,0.17388955251009847
Growth 3yr Historic,0.23033872480075004
Price/Earnings (TTM),
Price/Sales (TTM),8.35894
Price/Book (MRQ),13.27434
Price/Cash Flow (TTM),
5yr Low,41.66
5yr High,286.19
5yr Avg Return,0.3428
EPS Growth 5yr,
Revenue Growth 5yr,0.38184640000000003
Dividend Growth 5yr,
Short Int Current Month,1335960.0
Short Int Prev Month,1352629.0
Short Int Pct of Float,0.0450546
Days to Cover,1.95618
Float,29.64902
Shares Outstanding,30.11088
Institutions Holding Shares,311.0
FCF Growth 5yr,-0.008229012234889624
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6688
Operating Profit Margin (TTM),-0.3296
Net Profit Margin (TTM),-0.3379
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.10869999999999999
EPS Growth (TTM),-0.6118
Revenue Growth (MRQ),0.0179
Revenue Growth (TTM),0.18850000000000003
Return On Equity (TTM),-0.48009999999999997
Return On Assets (TTM),-0.27899999999999997
Return On Investment (TTM),-0.3406
Revenue Per Employee (TTM),223593.0
Total Debt/Total Capital (MRQ),0.1274
Change in Debt/Total Capital Quarter over Quarter,0.005699999999999999
Quick Ratio (MRQ),3.25
Interest Coverage (MRQ),-34.34
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-03-15 00:00:00
researchTeam since,2021-02-01 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-22 00:00:00
cfra since,
marketEdge opinion since,
