,WBA
% Above Low,0.3429
% Held by Institutions,0.5661999999999999
52-Wk Range,['30.39 - 55.00']
Annual Dividend $,1.92
Annual Dividend %,0.0461
Ask,40.9
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,0.7
Bid,40.81
Bid Size,500.0
Closing Price,40.81
Day Change $,-0.85
Day Change %,-0.0204
Day High,41.66
Day Low,40.64
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",5.0
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.309
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,35.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.33
Prev Close,41.66
Short Interest,0.042800000000000005
Today's Open,41.43
Volume,4688234.0
Volume 10-day Avg,6133370.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.13480885311871227
Growth 1yr High Est,-0.10453648915187386
Growth 1yr Consensus Est,-0.11967267113529306
Growth 2yr Low Est,-0.024381170745402636
Growth 2yr High Est,-0.011519345897522792
Growth 2yr Consensus Est,-0.017950258321462714
Growth 5yr Low Est,0.002894822339944277
Growth 5yr High Est,0.0024830376943344077
Growth 5yr Consensus Est,0.0026889300171393424
Growth 5yr Actual/Est,0.032585588484512484
Growth 3yr Historic,0.04341821002341206
Price/Earnings (TTM),8.3306
Price/Sales (TTM),0.27149
Price/Book (MRQ),1.42516
Price/Cash Flow (TTM),5.95014
5yr Low,30.39
5yr High,86.31
5yr Avg Return,-0.07238333333333333
EPS Growth 5yr,0.0578372
Revenue Growth 5yr,0.023392800000000002
Dividend Growth 5yr,0.0495144
Short Int Current Month,30575128.0
Short Int Prev Month,31588142.0
Short Int Pct of Float,0.042806699999999996
Days to Cover,3.70789
Float,714.4596
Shares Outstanding,864.8131
Institutions Holding Shares,1517.0
FCF Growth 5yr,0.6118420483623487
"Price/Earnings (TTM, GAAP)",8.33
"PEG Ratio (TTM, GAAP)",6.49
Gross Profit Margin (TTM),0.21300000000000002
Operating Profit Margin (TTM),0.013000000000000001
Net Profit Margin (TTM),0.030299999999999997
Annual Dividend Yield,0.0461
Dividend Change %,0.021400000000000002
"Dividend Growth Rate, 3 Years",0.0276
EPS Growth (MRQ),-2.4373
EPS Growth (TTM),1.1740000000000002
Revenue Growth (MRQ),-0.0045000000000000005
Revenue Growth (TTM),0.0015
Return On Equity (TTM),0.17809999999999998
Return On Assets (TTM),0.0468
Return On Investment (TTM),0.0664
Revenue Per Employee (TTM),663515.0
Total Debt/Total Capital (MRQ),0.29309999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),0.38
Interest Coverage (MRQ),3.09
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-05-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2018-09-13 00:00:00
ford since,2022-04-29 00:00:00
marketEdge opinion since,
