,WBA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.33,32.14,Valuation,0.25917859365276913
Price/Sales (TTM),0.27,0.72,Valuation,0.37500000000000006
Price/Book (MRQ),1.43,8.68,Valuation,0.16474654377880185
"PEG Ratio (TTM, GAAP)",6.49,0.86,Valuation,7.546511627906977
Gross Profit Margin (TTM),0.21300000000000002,0.20010000000000003,Profitability,1.0644677661169415
Operating Profit Margin (TTM),0.013000000000000001,0.033,Profitability,0.393939393939394
Net Profit Margin (TTM),0.030299999999999997,0.0192,Profitability,1.578125
Annual Dividend Yield,0.0461,0.0138,Dividend,3.3405797101449277
Dividend Change %,0.021400000000000002,0.0572,Dividend,0.37412587412587417
"Dividend Growth Rate, 3 Years",0.0276,0.053899999999999997,Dividend,0.5120593692022264
EPS Growth (MRQ),-2.4373,-0.6058,Gowth rates,4.023275008253549
EPS Growth (TTM),1.1740000000000002,0.3755,Gowth rates,3.126498002663116
Revenue Growth (MRQ),-0.0045000000000000005,0.1126,Gowth rates,-0.03996447602131439
Revenue Growth (TTM),0.0015,0.10740000000000001,Gowth rates,0.013966480446927373
Return On Equity (TTM),0.17809999999999998,0.2335,Effectiveness,0.7627408993576016
Return On Assets (TTM),0.0468,0.0572,Effectiveness,0.8181818181818182
Return On Investment (TTM),0.0664,0.1033,Effectiveness,0.6427879961277831
Revenue Per Employee (TTM),663515.0,518753.0,Effectiveness,1.2790576632809834
Total Debt/Total Capital (MRQ),0.29309999999999997,0.3837,Financial strength,0.7638780297107115
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002,0.0003,Financial strength,4.666666666666668
Quick Ratio (MRQ),0.38,0.36,Financial strength,1.0555555555555556
Interest Coverage (MRQ),3.09,5.73,Financial strength,0.5392670157068062
