,WBA
Price/Earnings (TTM),8.3306
Price/Sales (TTM),0.27149
Price/Book (MRQ),1.42516
Price/Cash Flow (TTM),5.95014
5yr Low,30.39
5yr High,86.31
5yr Avg Return,-0.07238333333333333
EPS Growth 5yr,0.0578372
Revenue Growth 5yr,0.023392800000000002
Dividend Growth 5yr,0.0495144
Short Int Current Month,30575128.0
Short Int Prev Month,31588142.0
Short Int Pct of Float,0.042806699999999996
Days to Cover,3.70789
Float,714.4596
Shares Outstanding,864.8131
Institutions Holding Shares,1517.0
% Held by Institutions,0.566177
FCF Growth 5yr,0.6118420483623487
