,SPXC
% Below High,0.09970000000000001
% Held by Institutions,0.9451
52-Wk Range,['41.66 - 75.25']
Annual Dividend $,
Annual Dividend %,
Ask,67.79
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,67.73
Bid Size,200.0
Day Change $,-3.05
Day Change %,-0.0431
Day High,70.42
Day Low,67.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.34
Ex-dividend Date,No dividend
Historical Volatility,0.33799999999999997
Last (size),121.0
Last (time),3:07p ET 11/28/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",52.79
Prev Close,70.8
Price,67.75
Short Interest,0.0121
Today's Open,70.42
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.30630630630630606
Growth 1yr High Est,0.2259414225941423
Growth 1yr Consensus Est,0.2661238644502242
Growth 2yr Low Est,0.22211867039453237
Growth 2yr High Est,0.21877275907864102
Growth 2yr Consensus Est,0.2204457147365867
Growth 5yr Low Est,0.06810703037445776
Growth 5yr High Est,0.08306845830302936
Growth 5yr Consensus Est,0.07558774433874356
Growth 5yr Actual/Est,0.06777184289963653
Growth 3yr Historic,-0.038341097308488586
Price/Earnings (TTM),52.79445
Price/Sales (TTM),2.31712
Price/Book (MRQ),2.96512
Price/Cash Flow (TTM),29.27028
5yr Low,25.22
5yr High,75.25
5yr Avg Return,0.17253333333333334
EPS Growth 5yr,0.3318486
Revenue Growth 5yr,-0.036976
Dividend Growth 5yr,
Short Int Current Month,538059.0
Short Int Prev Month,716316.0
Short Int Pct of Float,0.0121381
Days to Cover,2.21549
Float,44.37982
Shares Outstanding,45.18702
Institutions Holding Shares,285.0
FCF Growth 5yr,-0.1517616754888996
"Price/Earnings (TTM, GAAP)",52.79
"PEG Ratio (TTM, GAAP)",2.93
Gross Profit Margin (TTM),0.35740000000000005
Operating Profit Margin (TTM),0.0752
Net Profit Margin (TTM),0.045
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3433
EPS Growth (TTM),-0.2948
Revenue Growth (MRQ),0.0466
Revenue Growth (TTM),0.1368
Return On Equity (TTM),0.0581
Return On Assets (TTM),0.025
Return On Investment (TTM),0.0302
Revenue Per Employee (TTM),445387.0
Total Debt/Total Capital (MRQ),0.1861
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.53
Interest Coverage (MRQ),23.31
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-07-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
