,SPXC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",52.79,24.01,Valuation,2.1986672219908368
Price/Sales (TTM),2.32,3.06,Valuation,0.7581699346405228
Price/Book (MRQ),2.97,7.44,Valuation,0.39919354838709675
"PEG Ratio (TTM, GAAP)",2.93,1.49,Valuation,1.9664429530201344
Gross Profit Margin (TTM),0.35740000000000005,0.32799999999999996,Profitability,1.0896341463414636
Operating Profit Margin (TTM),0.0752,0.0198,Profitability,3.797979797979798
Net Profit Margin (TTM),0.045,-0.0086,Profitability,-5.232558139534883
Annual Dividend Yield,,0.0143,Dividend,
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),-0.3433,0.3518,Gowth rates,-0.9758385446276293
EPS Growth (TTM),-0.2948,0.16149999999999998,Gowth rates,-1.825386996904025
Revenue Growth (MRQ),0.0466,0.196,Gowth rates,0.23775510204081632
Revenue Growth (TTM),0.1368,0.1475,Gowth rates,0.9274576271186441
Return On Equity (TTM),0.0581,0.2859,Effectiveness,0.2032179083595663
Return On Assets (TTM),0.025,0.0851,Effectiveness,0.29377203290246773
Return On Investment (TTM),0.0302,0.12490000000000001,Effectiveness,0.2417934347477982
Revenue Per Employee (TTM),445387.0,343373.0,Effectiveness,1.2970938309069147
Total Debt/Total Capital (MRQ),0.1861,0.6352000000000001,Financial strength,0.29297858942065486
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0189,Financial strength,0.0
Quick Ratio (MRQ),1.53,1.07,Financial strength,1.4299065420560748
Interest Coverage (MRQ),23.31,20.9,Financial strength,1.115311004784689
