,MSGE
% Above Low,0.1957
% Held by Institutions,0.9035
52-Wk Range,['38.98 - 84.57']
Annual Dividend $,
Annual Dividend %,
Ask,47.5
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,46.61
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.75
Ex-dividend Date,No dividend
Historical Volatility,0.45299999999999996
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,46.61
Short Interest,0.07919999999999999
Today's Open,
Volume,69829.0
Volume 10-day Avg,244000.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6580645161290323
Growth 2yr High Est,-3.7826086956521743
Growth 2yr Consensus Est,-2.220336605890603
Growth 5yr Low Est,-0.6580645161290323
Growth 5yr High Est,-3.7826086956521743
Growth 5yr Consensus Est,-2.220336605890603
Growth 5yr Actual/Est,-0.4356552389419708
Growth 3yr Historic,0.03773757734720787
Price/Earnings (TTM),
Price/Sales (TTM),0.87935
Price/Book (MRQ),0.84445
Price/Cash Flow (TTM),
5yr Low,38.98
5yr High,121.42
5yr Avg Return,-0.20626666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.1938836
Dividend Growth 5yr,
Short Int Current Month,1911069.0
Short Int Prev Month,1771131.0
Short Int Pct of Float,0.0792165
Days to Cover,7.54874
Float,24.42971
Shares Outstanding,34.54987
Institutions Holding Shares,250.0
FCF Growth 5yr,0.45000733232440543
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4214
Operating Profit Margin (TTM),-0.0546
Net Profit Margin (TTM),-0.086
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5669
EPS Growth (TTM),0.19260000000000002
Revenue Growth (MRQ),-0.11539999999999999
Revenue Growth (TTM),0.9520000000000001
Return On Equity (TTM),-0.0818
Return On Assets (TTM),-0.029300000000000003
Return On Investment (TTM),-0.0361
Revenue Per Employee (TTM),832421.0
Total Debt/Total Capital (MRQ),0.4524
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-08-24 00:00:00
theStreet since,2021-08-24 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
