,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.76,15.0,14.42,9.26,,,,,
low,9.63,9.75,5.83,4.51,,,,,
change,0.049800000000000004,0.336,-0.5376,0.2685,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,147.0,142.0,147.0,156.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,25.0,27.0,30.0,28.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,23.0,26.0,28.0,27.0,Balance Sheet
Other Receivables,,,,,0.0,0.0,0.0,2.0,Balance Sheet
"Total Receivables, Net",,,,,24.0,26.0,28.0,29.0,Balance Sheet
Prepaid Expenses,,,,,2.0,3.0,3.0,3.0,Balance Sheet
"Other Curr. Assets, Total",,,,,101.0,92.0,96.0,109.0,Balance Sheet
Total Current Assets,,,,,274.0,262.0,275.0,297.0,Balance Sheet
Buildings,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Machinery/Equipment,,,,,24.0,24.0,26.0,28.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,6.0,5.0,5.0,4.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,31.0,31.0,32.0,33.0,Balance Sheet
Accumulated Depreciation,,,,,-12.0,-14.0,-15.0,-16.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,19.0,17.0,18.0,18.0,Balance Sheet
"Goodwill, Net",,,,,221.0,225.0,225.0,223.0,Balance Sheet
Intangibles - Gross,,,,,226.0,234.0,235.0,237.0,Balance Sheet
Accum. Intangible Amort.,,,,,-90.0,-96.0,-103.0,-110.0,Balance Sheet
Intangibles - Net,,,,,137.0,138.0,132.0,127.0,Balance Sheet
Other Long Term Assets,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,,,651.0,643.0,650.0,665.0,Balance Sheet
Accounts Payable,,,,,3.0,2.0,3.0,1.0,Balance Sheet
Accrued Expenses,,,,,26.0,28.0,29.0,30.0,Balance Sheet
