,PAYA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",112.52,53.11,Valuation,2.1186217284880438
Price/Sales (TTM),3.9,19.35,Valuation,0.2015503875968992
Price/Book (MRQ),4.27,19.03,Valuation,0.22438255386232261
"PEG Ratio (TTM, GAAP)",8.86,3.41,Valuation,2.598240469208211
Gross Profit Margin (TTM),0.5129,0.44520000000000004,Profitability,1.1520664869721473
Operating Profit Margin (TTM),0.08310000000000001,0.3027,Profitability,0.2745292368681863
Net Profit Margin (TTM),0.0342,0.23600000000000002,Profitability,0.14491525423728813
Annual Dividend Yield,,0.010400000000000001,Dividend,
Dividend Change %,,0.0818,Dividend,
"Dividend Growth Rate, 3 Years",,0.1223,Dividend,
EPS Growth (MRQ),-0.18230000000000002,-3.5569,Gowth rates,0.051252495150271304
EPS Growth (TTM),3.0036,0.15560000000000002,Gowth rates,19.303341902313623
Revenue Growth (MRQ),-0.015500000000000002,0.16460000000000002,Gowth rates,-0.09416767922235722
Revenue Growth (TTM),-0.28690000000000004,0.2273,Gowth rates,-1.262208534975803
Return On Equity (TTM),0.038700000000000005,0.5459,Effectiveness,0.07089210478109544
Return On Assets (TTM),0.0147,0.1131,Effectiveness,0.129973474801061
Return On Investment (TTM),0.0182,0.18910000000000002,Effectiveness,0.09624537281861449
Revenue Per Employee (TTM),923033.0,686074.0,Effectiveness,1.3453840256298883
Total Debt/Total Capital (MRQ),0.4904,0.5613,Financial strength,0.8736860858720826
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0048,Financial strength,-0.14583333333333337
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),2.34,27.21,Financial strength,0.08599779492833516
