,ATI
Price/Earnings (TTM),311.6815
Price/Sales (TTM),1.06352
Price/Book (MRQ),4.69467
Price/Cash Flow (TTM),20.78996
5yr Low,4.95
5yr High,33.31
5yr Avg Return,0.08529999999999999
EPS Growth 5yr,
Revenue Growth 5yr,-0.0223375
Dividend Growth 5yr,
Short Int Current Month,13761463.0
Short Int Prev Month,14463704.0
Short Int Pct of Float,0.10726190000000001
Days to Cover,8.66458
Float,128.5471
Shares Outstanding,129.4177
Institutions Holding Shares,370.0
% Held by Institutions,1.011668
FCF Growth 5yr,0.2142091948013001
