,ATI
% Below High,0.11410000000000001
% Held by Institutions,1.0117
52-Wk Range,['13.85 - 33.31']
Annual Dividend $,
Annual Dividend %,
Ask,33.0
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.2
Bid,10.0
Bid Size,500.0
Closing Price,29.51
Day Change $,0.27
Day Change %,0.0092
Day High,29.82
Day Low,29.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.09
Ex-dividend Date,No dividend
Historical Volatility,0.47500000000000003
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",311.68
Prev Close,29.24
Short Interest,0.1073
Today's Open,29.31
Volume,290417.0
Volume 10-day Avg,815595.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-4.266666666666667
Growth 1yr High Est,-5.444444444444445
Growth 1yr Consensus Est,-4.855555555555556
Growth 2yr Low Est,-2.1358843537414964
Growth 2yr High Est,-2.6847222222222222
Growth 2yr Consensus Est,-2.4103032879818596
Growth 5yr Low Est,-1.456831065759637
Growth 5yr High Est,-1.6816468253968255
Growth 5yr Consensus Est,-1.5692389455782314
Growth 5yr Actual/Est,2.897855301264392
Growth 3yr Historic,-0.6699380165289256
Price/Earnings (TTM),311.6815
Price/Sales (TTM),1.06352
Price/Book (MRQ),4.69467
Price/Cash Flow (TTM),20.78996
5yr Low,4.95
5yr High,33.31
5yr Avg Return,0.08529999999999999
EPS Growth 5yr,
Revenue Growth 5yr,-0.0223375
Dividend Growth 5yr,
Short Int Current Month,13761463.0
Short Int Prev Month,14463704.0
Short Int Pct of Float,0.10726190000000001
Days to Cover,8.66458
Float,128.5471
Shares Outstanding,129.4177
Institutions Holding Shares,370.0
FCF Growth 5yr,0.2142091948013001
"Price/Earnings (TTM, GAAP)",311.68
"PEG Ratio (TTM, GAAP)",1.94
Gross Profit Margin (TTM),0.1812
Operating Profit Margin (TTM),0.042300000000000004
Net Profit Margin (TTM),0.0113
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),2.3285
EPS Growth (TTM),1.0106
Revenue Growth (MRQ),0.0756
Revenue Growth (TTM),0.3336
Return On Equity (TTM),0.0357
Return On Assets (TTM),0.0091
Return On Investment (TTM),0.0123
Revenue Per Employee (TTM),570000.0
Total Debt/Total Capital (MRQ),0.6482
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),1.4
Interest Coverage (MRQ),5.53
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2021-08-04 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-02-03 00:00:00
