,ATI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",311.68,8.08,Valuation,38.57425742574257
Price/Sales (TTM),1.06,26.91,Valuation,0.03939056112969157
Price/Book (MRQ),4.69,2.97,Valuation,1.5791245791245792
"PEG Ratio (TTM, GAAP)",1.94,0.16,Valuation,12.125
Gross Profit Margin (TTM),0.1812,0.375,Profitability,0.4832
Operating Profit Margin (TTM),0.042300000000000004,0.1536,Profitability,0.27539062500000006
Net Profit Margin (TTM),0.0113,-0.0743,Profitability,-0.15208613728129203
Annual Dividend Yield,,0.0221,Dividend,
Dividend Change %,,1.2769,Dividend,
"Dividend Growth Rate, 3 Years",,0.1663,Dividend,
EPS Growth (MRQ),2.3285,2.9959,Gowth rates,0.7772288794686072
EPS Growth (TTM),1.0106,0.5015,Gowth rates,2.0151545363908276
Revenue Growth (MRQ),0.0756,-0.0395,Gowth rates,-1.9139240506329114
Revenue Growth (TTM),0.3336,0.19710000000000003,Gowth rates,1.6925418569254185
Return On Equity (TTM),0.0357,0.2866,Effectiveness,0.12456385205861828
Return On Assets (TTM),0.0091,0.08710000000000001,Effectiveness,0.1044776119402985
Return On Investment (TTM),0.0123,0.1716,Effectiveness,0.07167832167832168
Revenue Per Employee (TTM),570000.0,1553496.0,Effectiveness,0.3669143660492206
Total Debt/Total Capital (MRQ),0.6482,0.3055,Financial strength,2.12176759410802
Change in Debt/Total Capital Quarter over Quarter,-0.0019,0.0382,Financial strength,-0.04973821989528796
Quick Ratio (MRQ),1.4,2.21,Financial strength,0.6334841628959276
Interest Coverage (MRQ),5.53,28.97,Financial strength,0.19088712461166726
