,VERA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),4.27,12.61,Valuation,0.33862014274385405
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.6531999999999999,-0.0014000000000000002,Gowth rates,466.57142857142844
EPS Growth (TTM),-0.0384,0.027200000000000002,Gowth rates,-1.4117647058823528
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.7685,0.1967,Effectiveness,-3.9069649211997963
Return On Assets (TTM),-0.6602,0.0016,Effectiveness,-412.625
Return On Investment (TTM),-0.7253000000000001,0.0219,Effectiveness,-33.11872146118722
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.0449,0.4675,Financial strength,0.0960427807486631
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
