,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,37.11,29.2,,,,,
low,11.3,12.29,,,,,
change,1.3418,-0.41600000000000004,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,79674.0,111506.0,50427.0,30475.0,Balance Sheet
Short Term Investments,,,,39432.0,81501.0,83945.0,Balance Sheet
Cash and Short Term Invs,,,79674.0,150938.0,131928.0,114420.0,Balance Sheet
Prepaid Expenses,,,2863.0,6805.0,9634.0,9770.0,Balance Sheet
Restricted Cash - Current,,,0.0,,,,Balance Sheet
Other Current Assets,,,,,776.0,792.0,Balance Sheet
"Other Curr. Assets, Total",,,0.0,,776.0,792.0,Balance Sheet
Total Current Assets,,,82537.0,157743.0,142338.0,124982.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,6291.0,5745.0,5824.0,Balance Sheet
Long Term Investments,,,867.0,580.0,324.0,122.0,Balance Sheet
Deferred Charges,,,51.0,67.0,82.0,149.0,Balance Sheet
Restricted Cash - LT,,,293.0,293.0,293.0,293.0,Balance Sheet
Total Assets,,,83748.0,164974.0,148782.0,131370.0,Balance Sheet
Accounts Payable,,,1385.0,7328.0,7084.0,7012.0,Balance Sheet
Accrued Expenses,,,5928.0,12641.0,8499.0,8908.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Payables,,,,,1696.0,,Balance Sheet
Other Current Liabilities,,,377.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,377.0,0.0,1696.0,0.0,Balance Sheet
Total Current Liabilities,,,7690.0,19969.0,17279.0,15920.0,Balance Sheet
Total Long Term Debt,,,4923.0,4937.0,4952.0,4966.0,Balance Sheet
Total Debt,,,4923.0,4937.0,4952.0,4966.0,Balance Sheet
"Other Liabilities, Total",,,1543.0,5643.0,5047.0,4766.0,Balance Sheet
Total Liabilities,,,14156.0,30549.0,27278.0,25652.0,Balance Sheet
Redeemable Preferred Stock,,,,,0.0,0.0,Balance Sheet
Common Stock,,,21.0,27.0,27.0,28.0,Balance Sheet
Additional Paid-In Capital,,,193627.0,275539.0,277471.0,286363.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-124056.0,-141141.0,-155994.0,-180673.0,Balance Sheet
Total Equity,,,69592.0,134425.0,121504.0,105718.0,Balance Sheet
