,VERA
% Above Low,0.28690000000000004
% Held by Institutions,0.9395
52-Wk Range,['12.29 - 37.11']
Annual Dividend $,
Annual Dividend %,
Ask,15.81
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,
Bid,6.38
Bid Size,200.0
Closing Price,15.81
Day Change $,-0.54
Day Change %,-0.033
Day High,16.29
Day Low,15.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.95
Ex-dividend Date,No dividend
Historical Volatility,0.788
Last (size),108.0
Last (time),3:59p ET 11/28/22
Market Cap,437.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,16.35
Short Interest,0.0815
Today's Open,16.29
Volume,72240.0
Volume 10-day Avg,138559.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.041916167664670545
Growth 1yr High Est,0.11170212765957444
Growth 1yr Consensus Est,0.034892979997451945
Growth 2yr Low Est,0.20560441616766473
Growth 2yr High Est,0.19221470019342368
Growth 2yr Consensus Est,0.1989095581805442
Growth 5yr Low Est,0.20560441616766473
Growth 5yr High Est,0.19221470019342368
Growth 5yr Consensus Est,0.1989095581805442
Growth 5yr Actual/Est,0.18479192123484878
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),4.26968
Price/Cash Flow (TTM),
5yr Low,11.3
5yr High,37.11
5yr Avg Return,0.4629000000000001
Short Int Current Month,2046961.0
Short Int Prev Month,1773236.0
Short Int Pct of Float,0.0815105
Days to Cover,14.55027
Float,25.13951
Shares Outstanding,27.65764
Institutions Holding Shares,93.0
FCF Growth 5yr,0.6958223332440753
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6531999999999999
EPS Growth (TTM),-0.0384
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.7685
Return On Assets (TTM),-0.6602
Return On Investment (TTM),-0.7253000000000001
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0449
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
