,WAFD
% Below High,0.1198
% Held by Institutions,0.8440000000000001
52-Wk Range,['29.46 - 39.17']
Annual Dividend $,0.96
Annual Dividend %,0.0274
Ask,34.78
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,34.27
Bid Size,100.0
Closing Price,34.48
Day Change $,-0.56
Day Change %,-0.016
Day High,35.1
Day Low,34.28
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",3.39
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.275
Last (size),196.0
Last (time),3:59p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.34
Prev Close,35.04
Short Interest,0.0236
Today's Open,34.86
Volume,310485.0
Volume 10-day Avg,383775.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-12 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.11838006230529596
Growth 1yr High Est,0.31595092024539895
Growth 1yr Consensus Est,0.21716549127534746
Growth 2yr Low Est,0.17896718992702132
Growth 2yr High Est,0.18361648576372513
Growth 2yr Consensus Est,0.18129183784537323
Growth 5yr Low Est,0.238332279174037
Growth 5yr High Est,0.24031159932513313
Growth 5yr Consensus Est,0.23932193924958506
Growth 5yr Actual/Est,0.2299209089069379
Growth 3yr Historic,0.15485376674165807
Price/Earnings (TTM),10.33711
Price/Sales (TTM),3.4623
Price/Book (MRQ),1.15951
Price/Cash Flow (TTM),8.0084
5yr Low,20.01
5yr High,39.17
5yr Avg Return,0.025966666666666666
EPS Growth 5yr,0.1175182
Revenue Growth 5yr,0.039537499999999996
Dividend Growth 5yr,0.0999535
Short Int Current Month,1517992.0
Short Int Prev Month,1720332.0
Short Int Pct of Float,0.023610000000000003
Days to Cover,4.48241
Float,64.30709
Shares Outstanding,65.30958
Institutions Holding Shares,313.0
FCF Growth 5yr,1.2974921169365614
"Price/Earnings (TTM, GAAP)",10.34
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4539
Net Profit Margin (TTM),0.3576
Annual Dividend Yield,0.027400000000000004
Dividend Change %,0.044000000000000004
"Dividend Growth Rate, 3 Years",0.0634
EPS Growth (MRQ),0.16890000000000002
EPS Growth (TTM),0.40909999999999996
Revenue Growth (MRQ),0.18420000000000003
Revenue Growth (TTM),0.12630000000000002
Return On Equity (TTM),0.1167
Return On Assets (TTM),0.0117
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-07-15 00:00:00
theStreet since,2020-12-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
