,INST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),7.43,9.39,Valuation,0.7912673056443024
Price/Book (MRQ),2.69,12.63,Valuation,0.21298495645288992
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6335000000000001,0.7206,Profitability,0.8791285040244241
Operating Profit Margin (TTM),-0.1045,0.2172,Profitability,-0.4811233885819521
Net Profit Margin (TTM),-0.1067,0.1553,Profitability,-0.6870573084352866
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.2248,-0.0752,Gowth rates,-2.9893617021276593
EPS Growth (TTM),,-0.2824,Gowth rates,
Revenue Growth (MRQ),0.06849999999999999,0.15560000000000002,Gowth rates,0.4402313624678662
Revenue Growth (TTM),,0.1906,Gowth rates,
Return On Equity (TTM),-0.0384,0.2189,Effectiveness,-0.17542256738236636
Return On Assets (TTM),-0.022400000000000003,0.10740000000000001,Effectiveness,-0.2085661080074488
Return On Investment (TTM),-0.0265,0.1387,Effectiveness,-0.19105984138428264
Revenue Per Employee (TTM),359362.0,667721.0,Effectiveness,0.5381918495898736
Total Debt/Total Capital (MRQ),0.2783,0.39659999999999995,Financial strength,0.7017145738779628
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.0004,Financial strength,-1.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),0.27,0.28,Financial strength,0.9642857142857143
