,INST
% Below High,0.0697
% Held by Institutions,0.9812000000000001
52-Wk Range,['15.68 - 25.84']
Annual Dividend $,
Annual Dividend %,
Ask,24.5
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,24.04
Day Change $,0.34
Day Change %,0.0143
Day High,24.22
Day Low,23.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.35
Ex-dividend Date,No dividend
Historical Volatility,0.446
Last (size),8.0
Last (time),5:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,23.7
Short Interest,0.1857
Today's Open,23.85
Volume,64937.0
Volume 10-day Avg,185973.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.05714285714285716
Growth 2yr High Est,0.19999999999999996
Growth 2yr Consensus Est,0.12857142857142856
Growth 5yr Low Est,0.05714285714285716
Growth 5yr High Est,0.19999999999999996
Growth 5yr Consensus Est,0.12857142857142856
Growth 5yr Actual/Est,0.11471734892787533
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),7.43019
Price/Book (MRQ),2.68728
Price/Cash Flow (TTM),37.71381
5yr Low,15.68
5yr High,29.59
5yr Avg Return,0.0189
Short Int Current Month,2918525.0
Short Int Prev Month,2738736.0
Short Int Pct of Float,0.1857254
Days to Cover,10.64262
Float,140.2089
Shares Outstanding,142.503
Institutions Holding Shares,128.0
FCF Growth 5yr,-1.5573439622076048
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6335000000000001
Operating Profit Margin (TTM),-0.1045
Net Profit Margin (TTM),-0.1067
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2248
EPS Growth (TTM),
Revenue Growth (MRQ),0.06849999999999999
Revenue Growth (TTM),
Return On Equity (TTM),-0.0384
Return On Assets (TTM),-0.022400000000000003
Return On Investment (TTM),-0.0265
Revenue Per Employee (TTM),359362.0
Total Debt/Total Capital (MRQ),0.2783
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.27
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-11-03 00:00:00
researchTeam since,2022-11-03 00:00:00
ford since,2022-04-08 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
