,THFF
% Below High,0.036699999999999997
% Held by Institutions,0.7367
52-Wk Range,['41.50 - 49.90']
Annual Dividend $,1.08
Annual Dividend %,0.022099999999999998
Ask,48.08
Ask Size,200.0
Ask close,59.97
B/A Ratio,0.5
B/A Size,100x200
Beta,0.6
Bid,48.03
Bid Size,100.0
Bid close,37.37
Change Since Close,0.00| |(0.00%)
Closing Price,48.07
Day Change $,-0.72
Day Change %,-0.0148
Day High,48.91
Day Low,47.86
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",5.02
Ex-dividend,2023-01-05 00:00:00
Ex-dividend Date,01/05/23
Historical Volatility,0.18
Last (size),471.0
Last (time),4:00p ET 11/28/22
Last Trade,48.07
Market Cap,577.9M
"P/E Ratio (TTM, GAAP)",9.71
Prev Close,48.79
Short Interest,0.0097
Today's Open,48.87
Volume,14805.0
Volume 10-day Avg,29364.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.532258064516129
Growth 1yr High Est,0.571808510638298
Growth 1yr Consensus Est,0.5520332875772135
Growth 2yr Low Est,0.21612903225806446
Growth 2yr High Est,0.2512172840839544
Growth 2yr Consensus Est,0.23367315817100942
Growth 5yr Low Est,0.10806451612903223
Growth 5yr High Est,0.1256086420419772
Growth 5yr Consensus Est,0.11683657908550471
Growth 5yr Actual/Est,0.10408160043047615
Growth 3yr Historic,0.014277822418642006
Price/Earnings (TTM),9.7149
Price/Sales (TTM),2.85941
Price/Book (MRQ),1.33725
Price/Cash Flow (TTM),8.61501
5yr Low,27.62
5yr High,53.05
5yr Avg Return,0.005700000000000002
EPS Growth 5yr,0.0519381
Revenue Growth 5yr,0.0683024
Dividend Growth 5yr,0.013757600000000002
Short Int Current Month,106103.0
Short Int Prev Month,128152.0
Short Int Pct of Float,0.0096808
Days to Cover,2.7337
Float,10.96018
Shares Outstanding,12.022
Institutions Holding Shares,201.0
FCF Growth 5yr,0.20819257402365063
"Price/Earnings (TTM, GAAP)",9.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.37700000000000006
Net Profit Margin (TTM),0.30219999999999997
Annual Dividend Yield,0.0221
Dividend Change %,0.0192
"Dividend Growth Rate, 3 Years",0.0129
EPS Growth (MRQ),0.1772
EPS Growth (TTM),0.0975
Revenue Growth (MRQ),0.1167
Revenue Growth (TTM),0.1059
Return On Equity (TTM),0.1199
Return On Assets (TTM),0.0126
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-21 00:00:00
theStreet since,2020-11-04 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
