,THFF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.71,11.29,Valuation,0.8600531443755537
Price/Sales (TTM),2.86,3.28,Valuation,0.8719512195121951
Price/Book (MRQ),1.34,1.42,Valuation,0.943661971830986
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.37700000000000006,0.3468,Profitability,1.0870818915801617
Net Profit Margin (TTM),0.30219999999999997,0.2848,Profitability,1.0610955056179774
Annual Dividend Yield,0.0221,0.028999999999999998,Dividend,0.7620689655172415
Dividend Change %,0.0192,-0.0087,Dividend,-2.206896551724138
"Dividend Growth Rate, 3 Years",0.0129,0.0742,Dividend,0.1738544474393531
EPS Growth (MRQ),0.1772,-0.048,Gowth rates,-3.6916666666666664
EPS Growth (TTM),0.0975,-0.10490000000000001,Gowth rates,-0.9294566253574833
Revenue Growth (MRQ),0.1167,0.5294,Gowth rates,0.22043823196071025
Revenue Growth (TTM),0.1059,0.22469999999999998,Gowth rates,0.4712950600801068
Return On Equity (TTM),0.1199,0.1153,Effectiveness,1.0398959236773635
Return On Assets (TTM),0.0126,0.0101,Effectiveness,1.2475247524752475
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0015,0.0009,Financial strength,-1.6666666666666667
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
