,ATSG
% Above Low,0.2183
% Held by Institutions,0.9684999999999999
52-Wk Range,['23.32 - 34.54']
Annual Dividend $,
Annual Dividend %,
Ask,28.72
Ask Size,100.0
B/A Ratio,16.0
B/A Size,1600x100
Beta,0.7
Bid,28.1
Bid Size,1600.0
Closing Price,28.41
Day Change $,0.16
Day Change %,0.005699999999999999
Day High,28.48
Day Low,28.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.3
Ex-dividend Date,No dividend
Historical Volatility,0.363
Last (size),20.0
Last (time),12:59p ET 11/25/22
Market Cap,2.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.38
Prev Close,28.25
Short Interest,0.0296
Today's Open,28.2
Volume,99032.0
Volume 10-day Avg,235950.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.41104294478527614
Growth 1yr High Est,0.3764705882352941
Growth 1yr Consensus Est,0.39375676651028513
Growth 2yr Low Est,0.22726060282742067
Growth 2yr High Est,0.2544746103569633
Growth 2yr Consensus Est,0.24086760659219197
Growth 5yr Low Est,0.15150706855161378
Growth 5yr High Est,0.1619869049889334
Growth 5yr Consensus Est,0.15674698677027357
Growth 5yr Actual/Est,0.14591900998045193
Growth 3yr Historic,0.026047281687971657
Price/Earnings (TTM),12.37801
Price/Sales (TTM),1.03579
Price/Book (MRQ),1.44163
Price/Cash Flow (TTM),3.71466
5yr Low,13.2
5yr High,34.54
5yr Avg Return,0.038933333333333334
EPS Growth 5yr,0.5513791
Revenue Growth 5yr,0.1766664
Dividend Growth 5yr,
Short Int Current Month,2097164.0
Short Int Prev Month,2098536.0
Short Int Pct of Float,0.0295558
Days to Cover,7.22579
Float,71.34606
Shares Outstanding,72.7284
Institutions Holding Shares,251.0
FCF Growth 5yr,-1.3600775689383282
"Price/Earnings (TTM, GAAP)",12.38
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.534
Operating Profit Margin (TTM),0.1469
Net Profit Margin (TTM),0.09960000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0669
EPS Growth (TTM),-0.0858
Revenue Growth (MRQ),0.014199999999999999
Revenue Growth (TTM),0.20800000000000002
Return On Equity (TTM),0.15
Return On Assets (TTM),0.0589
Return On Investment (TTM),0.0647
Revenue Per Employee (TTM),377805.0
Total Debt/Total Capital (MRQ),0.48310000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.04
Interest Coverage (MRQ),5.87
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-08-09 00:00:00
