,BLDR
% Above Low,0.2374
% Held by Institutions,1.0189
52-Wk Range,['48.91 - 86.48']
Annual Dividend $,
Annual Dividend %,
Ask,67.64
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.0
Bid,55.5
Bid Size,100.0
Closing Price,60.52
Day Change $,0.05
Day Change %,0.0008
Day High,61.36
Day Low,60.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",16.35
Ex-dividend Date,No dividend
Historical Volatility,0.526
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,8.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.7
Prev Close,60.47
Short Interest,0.0434
Today's Open,60.19
Volume,510719.0
Volume 10-day Avg,1668363.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,7.720000000000001
Growth 1yr High Est,7.927884615384615
Growth 1yr Consensus Est,7.823942307692308
Growth 2yr Low Est,3.4586238532110096
Growth 2yr High Est,3.7574264218549356
Growth 2yr Consensus Est,3.6080251375329726
Growth 5yr Low Est,1.7293119266055048
Growth 5yr High Est,1.8787132109274678
Growth 5yr Consensus Est,1.8040125687664863
Growth 5yr Actual/Est,0.7446084124874689
Growth 3yr Historic,0.7171907040328094
Price/Earnings (TTM),3.70254
Price/Sales (TTM),0.3872
Price/Book (MRQ),1.7259
Price/Cash Flow (TTM),2.66632
5yr Low,9.0
5yr High,86.48
5yr Avg Return,0.39415
EPS Growth 5yr,0.4617213
Revenue Growth 5yr,0.2558939
Dividend Growth 5yr,
Short Int Current Month,6279869.0
Short Int Prev Month,6824134.0
Short Int Pct of Float,0.043417899999999995
Days to Cover,2.9087
Float,135.7749
Shares Outstanding,147.1757
Institutions Holding Shares,647.0
FCF Growth 5yr,2.4126875755779498
"Price/Earnings (TTM, GAAP)",3.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3367
Operating Profit Margin (TTM),0.1681
Net Profit Margin (TTM),0.122
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.18050000000000002
EPS Growth (TTM),1.2161
Revenue Growth (MRQ),-0.16820000000000002
Revenue Growth (TTM),0.29309999999999997
Return On Equity (TTM),0.5224
Return On Assets (TTM),0.25120000000000003
Return On Investment (TTM),0.3116
Revenue Per Employee (TTM),821559.0
Total Debt/Total Capital (MRQ),0.3779
Change in Debt/Total Capital Quarter over Quarter,0.0023
Quick Ratio (MRQ),1.16
Interest Coverage (MRQ),23.0
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-06-19 00:00:00
