,BLDR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.7,13.91,Valuation,0.26599568655643424
Price/Sales (TTM),0.39,1.88,Valuation,0.20744680851063832
Price/Book (MRQ),1.73,3.87,Valuation,0.4470284237726098
"PEG Ratio (TTM, GAAP)",,0.02,Valuation,
Gross Profit Margin (TTM),0.3367,0.31260000000000004,Profitability,1.0770953294945615
Operating Profit Margin (TTM),0.1681,0.1429,Profitability,1.1763470958712385
Net Profit Margin (TTM),0.122,0.1072,Profitability,1.1380597014925373
Annual Dividend Yield,,0.0134,Dividend,
Dividend Change %,,0.2683,Dividend,
"Dividend Growth Rate, 3 Years",,0.0895,Dividend,
EPS Growth (MRQ),-0.18050000000000002,0.5653,Gowth rates,-0.31929948699805416
EPS Growth (TTM),1.2161,7.5147,Gowth rates,0.16182948088413376
Revenue Growth (MRQ),-0.16820000000000002,0.1259,Gowth rates,-1.3359809372517872
Revenue Growth (TTM),0.29309999999999997,0.20510000000000003,Gowth rates,1.4290589956118962
Return On Equity (TTM),0.5224,0.254,Effectiveness,2.0566929133858265
Return On Assets (TTM),0.25120000000000003,0.0326,Effectiveness,7.70552147239264
Return On Investment (TTM),0.3116,0.1543,Effectiveness,2.019442644199611
Revenue Per Employee (TTM),821559.0,403228.0,Effectiveness,2.037455236243515
Total Debt/Total Capital (MRQ),0.3779,0.4794,Financial strength,0.7882770129328327
Change in Debt/Total Capital Quarter over Quarter,0.0023,0.0029,Financial strength,0.7931034482758621
Quick Ratio (MRQ),1.16,1.11,Financial strength,1.0450450450450448
Interest Coverage (MRQ),23.0,10.87,Financial strength,2.1159153633854646
