,MXL
% Above Low,0.2217
% Held by Institutions,0.9148999999999999
52-Wk Range,['29.27 - 77.89']
Annual Dividend $,
Annual Dividend %,
Ask,35.55
Ask Size,200.0
Ask close,35.81
B/A Ratio,1.0
B/A Size,200x200
Beta,1.9
Bid,34.3
Bid Size,200.0
Bid close,35.63
Change Since Close,0.44| |(1.23%)
Closing Price,35.76
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.51
Ex-dividend Date,No dividend
Historical Volatility,0.65
Last (size),6.0
Last (time),1:00p ET 11/25/22
Last Trade,36.2
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.61
Prev Close,35.76
Short Interest,0.0859
Today's Open,
Volume,6.0
Volume 10-day Avg,478611.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.5692883895131089
Growth 1yr High Est,0.585820895522388
Growth 1yr Consensus Est,0.5775546425177485
Growth 2yr Low Est,0.1784389441598957
Growth 2yr High Est,0.3105575065847235
Growth 2yr Consensus Est,0.24449822537230959
Growth 5yr Low Est,0.6627375332099263
Growth 5yr High Est,0.6972686958210974
Growth 5yr Consensus Est,0.6800031145155119
Growth 5yr Actual/Est,0.66362534215639
Growth 3yr Historic,0.5392045454545453
Price/Earnings (TTM),23.60521
Price/Sales (TTM),2.60731
Price/Book (MRQ),4.56173
Price/Cash Flow (TTM),13.48169
5yr Low,7.79
5yr High,77.89
5yr Avg Return,0.17801666666666666
EPS Growth 5yr,-0.1027904
Revenue Growth 5yr,0.181362
Dividend Growth 5yr,
Short Int Current Month,6232528.0
Short Int Prev Month,6555132.0
Short Int Pct of Float,0.0858863
Days to Cover,10.61307
Float,72.61505
Shares Outstanding,78.56592
Institutions Holding Shares,371.0
FCF Growth 5yr,0.5434221184736522
"Price/Earnings (TTM, GAAP)",23.61
"PEG Ratio (TTM, GAAP)",1.57
Gross Profit Margin (TTM),0.583
Operating Profit Margin (TTM),0.15630000000000002
Net Profit Margin (TTM),0.1133
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.10890000000000001
EPS Growth (TTM),10.5869
Revenue Growth (MRQ),0.0204
Revenue Growth (TTM),0.284
Return On Equity (TTM),0.22760000000000002
Return On Assets (TTM),0.1092
Return On Investment (TTM),0.1477
Revenue Per Employee (TTM),716936.0
Total Debt/Total Capital (MRQ),0.21789999999999998
Change in Debt/Total Capital Quarter over Quarter,-0.0053
Quick Ratio (MRQ),1.13
Interest Coverage (MRQ),6.61
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-06-01 00:00:00
theStreet since,2020-07-31 00:00:00
cfra since,2021-02-04 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
