,MDB
% Above Low,0.0932
% Held by Institutions,0.9074
52-Wk Range,['135.15 - 570.58']
Annual Dividend $,
Annual Dividend %,
Ask,161.94
Ask Size,400.0
Ask close,157.77
B/A Ratio,0.25
B/A Size,100x400
Beta,1.0
Bid,143.5
Bid Size,100.0
Bid close,138.21
Change Since Close,-2.75| |(-1.86%)
Closing Price,147.75
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.37
Ex-dividend Date,No dividend
Historical Volatility,0.903
Last (size),6.0
Last (time),1:00p ET 11/25/22
Last Trade,145.0
Market Cap,10.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,147.75
Short Interest,0.058899999999999994
Today's Open,
Volume,8.0
Volume 10-day Avg,1961073.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.6634615384615385
Growth 1yr High Est,-0.8137254901960784
Growth 1yr Consensus Est,-0.7385935143288085
Growth 2yr Low Est,-0.5460164835164836
Growth 2yr High Est,-2.6700206398348816
Growth 2yr Consensus Est,-1.6080185616756826
Growth 5yr Low Est,-0.2730082417582418
Growth 5yr High Est,-1.3350103199174408
Growth 5yr Consensus Est,-0.8040092808378414
Growth 5yr Actual/Est,-0.560863846226066
Growth 3yr Historic,-0.10351010101010102
Price/Earnings (TTM),
Price/Sales (TTM),9.37785
Price/Book (MRQ),15.18845
Price/Cash Flow (TTM),
5yr Low,24.62
5yr High,590.0
5yr Avg Return,0.6673333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.5006813
Dividend Growth 5yr,
Short Int Current Month,3899897.0
Short Int Prev Month,3868175.0
Short Int Pct of Float,0.058907999999999995
Days to Cover,1.79368
Float,66.19741
Shares Outstanding,68.70708
Institutions Holding Shares,738.0
FCF Growth 5yr,-5.39074074074074
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7129000000000001
Operating Profit Margin (TTM),-0.31980000000000003
Net Profit Margin (TTM),-0.3343
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5236999999999999
EPS Growth (TTM),-0.1332
Revenue Growth (MRQ),0.0638
Revenue Growth (TTM),0.5417000000000001
Return On Equity (TTM),-0.5394
Return On Assets (TTM),-0.1529
Return On Investment (TTM),-0.1875
Revenue Per Employee (TTM),305444.0
Total Debt/Total Capital (MRQ),0.6404000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),-153.33
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2018-12-06 00:00:00
theStreet since,2018-12-06 00:00:00
ford since,2018-03-29 00:00:00
cfra since,
marketEdge opinion since,
