,HD
% Above Low,0.2339
% Held by Institutions,0.6836
52-Wk Range,['264.51 - 420.61']
Annual Dividend $,7.6
Annual Dividend %,0.0233
Ask,326.98
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,1.0
Bid,326.4
Bid Size,100.0
Closing Price,326.38
Day Change $,4.87
Day Change %,0.0151
Day High,329.08
Day Low,321.9
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",16.59
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.312
Last (size),744.0
Last (time),5:00p ET 11/25/22
Market Cap,334.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.67
Prev Close,321.51
Short Interest,0.0097
Today's Open,322.89
Volume,3393533.0
Volume 10-day Avg,5330655.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,34.0
Growth 1yr Low Est,0.0809210526315789
Growth 1yr High Est,0.056426332288401326
Growth 1yr Consensus Est,0.06867369245999011
Growth 2yr Low Est,-1.42150110516992e-05
Growth 2yr High Est,0.05106183083262794
Growth 2yr Consensus Est,0.02552380791078812
Growth 5yr Low Est,0.11793111323049615
Growth 5yr High Est,0.15180657500349903
Growth 5yr Consensus Est,0.1348688441169976
Growth 5yr Actual/Est,0.13863781413045334
Growth 3yr Historic,0.11638701638272664
Price/Earnings (TTM),19.66859
Price/Sales (TTM),2.11482
Price/Book (MRQ),256.4774
Price/Cash Flow (TTM),16.70728
5yr Low,140.63
5yr High,420.61
5yr Avg Return,0.1365833333333333
EPS Growth 5yr,0.19222809999999999
Revenue Growth 5yr,0.09827730000000001
Dividend Growth 5yr,0.1904933
Short Int Current Month,9863619.0
Short Int Prev Month,7621441.0
Short Int Pct of Float,0.0096872
Days to Cover,1.96958
Float,1018.355
Shares Outstanding,1019.186
Institutions Holding Shares,3911.0
FCF Growth 5yr,0.14673839882856812
"Price/Earnings (TTM, GAAP)",19.67
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3351
Operating Profit Margin (TTM),0.1533
Net Profit Margin (TTM),0.10869999999999999
Annual Dividend Yield,0.0233
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.17010000000000003
EPS Growth (MRQ),-0.15960000000000002
EPS Growth (TTM),0.1097
Revenue Growth (MRQ),-0.11230000000000001
Revenue Growth (TTM),0.0649
Return On Equity (TTM),14.655000000000001
Return On Assets (TTM),0.2281
Return On Investment (TTM),0.3464
Revenue Per Employee (TTM),320610.0
Total Debt/Total Capital (MRQ),0.9707
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.33
Interest Coverage (MRQ),15.14
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-11-16 00:00:00
researchTeam since,2022-02-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-20 00:00:00
ford since,2022-09-23 00:00:00
marketEdge opinion since,
